FigA,,Years until 20% infected with only hrp2 deletions,PfPR,ft,PfPR_grouped,lessthan5, 20+,FigB,,Years.until.20..infected.with.only.hrp2.deletions,hrp2d,PfPR,ft,PfPR_grouped,lessthan5, 20+
,42,NA,0.777992313,0.2,0.75 - 0.8,NA,NA,,42,NA,0.117870841,0.777992313,0.2,0.75 - 0.8,NA,NA
,43,NA,0.788118707,0.2,0.75 - 0.8,NA,NA,,43,NA,0.113918543,0.788118707,0.2,0.75 - 0.8,NA,NA
,44,NA,0.804062245,0.2,0.8 - 1.0,NA,NA,,44,NA,0.114295139,0.804062245,0.2,0.8 - 1.0,NA,NA
,45,NA,0.814685238,0.2,0.8 - 1.0,NA,NA,,45,NA,0.110773673,0.814685238,0.2,0.8 - 1.0,NA,NA
,46,NA,0.827327619,0.2,0.8 - 1.0,NA,NA,,46,NA,0.10815848,0.827327619,0.2,0.8 - 1.0,NA,NA
,47,NA,0.836064082,0.2,0.8 - 1.0,NA,NA,,47,NA,0.105232327,0.836064082,0.2,0.8 - 1.0,NA,NA
,48,NA,0.843468231,0.2,0.8 - 1.0,NA,NA,,48,NA,0.099717938,0.843468231,0.2,0.8 - 1.0,NA,NA
,49,NA,0.856123197,0.2,0.8 - 1.0,NA,NA,,49,NA,0.097237478,0.856123197,0.2,0.8 - 1.0,NA,NA
,50,NA,0.862204966,0.2,0.8 - 1.0,NA,NA,,50,NA,0.096225191,0.862204966,0.2,0.8 - 1.0,NA,NA
,51,NA,0.873972449,0.2,0.8 - 1.0,NA,NA,,51,NA,0.095215709,0.873972449,0.2,0.8 - 1.0,NA,NA
,52,NA,0.881794558,0.2,0.8 - 1.0,NA,NA,,52,NA,0.093083877,0.881794558,0.2,0.8 - 1.0,NA,NA
,53,NA,0.88524449,0.2,0.8 - 1.0,NA,NA,,53,NA,0.093376845,0.88524449,0.2,0.8 - 1.0,NA,NA
,54,NA,0.893824354,0.2,0.8 - 1.0,NA,NA,,54,NA,0.093121677,0.893824354,0.2,0.8 - 1.0,NA,NA
,55,NA,0.900816735,0.2,0.8 - 1.0,NA,NA,,55,NA,0.091578211,0.900816735,0.2,0.8 - 1.0,NA,NA
,56,4.208333333,0.124137143,0.3,0.0 - 0.15,TRUE,NA,,56,5.716666667,0.988512052,0.124137143,0.3,0.0 - 0.15,FALSE,NA
,57,4.533333333,0.138422449,0.3,0.0 - 0.15,TRUE,NA,,57,6.35,0.979221871,0.138422449,0.3,0.0 - 0.15,FALSE,NA
,58,4.791666667,0.147763129,0.3,0.0 - 0.15,TRUE,NA,,58,5.9,0.984890178,0.147763129,0.3,0.0 - 0.15,FALSE,NA
,59,4.666666667,0.154789932,0.3,0.15 - 0.2,TRUE,NA,,59,6.458333333,0.97809409,0.154789932,0.3,0.15 - 0.2,FALSE,NA
,60,4.733333333,0.166474354,0.3,0.15 - 0.2,TRUE,NA,,60,6.025,0.979447003,0.166474354,0.3,0.15 - 0.2,FALSE,NA
,61,4.858333333,0.177265102,0.3,0.15 - 0.2,TRUE,NA,,61,6.308333333,0.971651739,0.177265102,0.3,0.15 - 0.2,FALSE,NA
,62,5.025,0.185258435,0.3,0.15 - 0.2,FALSE,NA,,62,7.041666667,0.96769296,0.185258435,0.3,0.15 - 0.2,FALSE,NA
,63,5.408333333,0.203472245,0.3,0.2 - 0.25,FALSE,NA,,63,7.233333333,0.959520347,0.203472245,0.3,0.2 - 0.25,FALSE,NA
,64,5.766666667,0.215259456,0.3,0.2 - 0.25,FALSE,NA,,64,6.758333333,0.961165068,0.215259456,0.3,0.2 - 0.25,FALSE,NA
,65,5.541666667,0.22270585,0.3,0.2 - 0.25,FALSE,NA,,65,7.375,0.946073723,0.22270585,0.3,0.2 - 0.25,FALSE,NA
,66,5.825,0.243715782,0.3,0.2 - 0.25,FALSE,NA,,66,7.75,0.93281544,0.243715782,0.3,0.2 - 0.25,FALSE,NA
,67,5.983333333,0.255060068,0.3,0.25 - 0.3,FALSE,NA,,67,8.416666667,0.914939749,0.255060068,0.3,0.25 - 0.3,FALSE,NA
,68,6.666666667,0.27059034,0.3,0.25 - 0.3,FALSE,NA,,68,8.741666667,0.893220707,0.27059034,0.3,0.25 - 0.3,FALSE,NA
,69,6.05,0.283307959,0.3,0.25 - 0.3,FALSE,NA,,69,9,0.883196642,0.283307959,0.3,0.25 - 0.3,FALSE,NA
,70,7.35,0.299163401,0.3,0.25 - 0.3,FALSE,NA,,70,9.425,0.850657271,0.299163401,0.3,0.25 - 0.3,FALSE,NA
,71,7.108333333,0.322249932,0.3,0.3 - 0.35,FALSE,NA,,71,9.683333333,0.830651274,0.322249932,0.3,0.3 - 0.35,FALSE,NA
,72,7.266666667,0.333072517,0.3,0.3 - 0.35,FALSE,NA,,72,9.583333333,0.837456254,0.333072517,0.3,0.3 - 0.35,FALSE,NA
