"","Years until 20% infected with only hrp2 deletions","PfPR","ft","PfPR_grouped","lessthan5"," 20+"
"82",12.725,0.516929047619048,0.3,"0.5 - 0.55",FALSE,NA
"83",13.6166666666667,0.535336054421769,0.3,"0.5 - 0.55",FALSE,NA
"84",14.8833333333333,0.558422448979592,0.3,"0.55 - 0.6",FALSE,NA
"85",16.1666666666667,0.570121496598639,0.3,"0.55 - 0.6",FALSE,NA
"86",17.075,0.591365782312925,0.3,"0.55 - 0.6",FALSE,NA
"87",NA,0.607445170068027,0.3,"0.6 - 0.65",NA,NA
"88",NA,0.624036666666667,0.3,"0.6 - 0.65",NA,NA
"89",NA,0.643392448979592,0.3,"0.6 - 0.65",NA,NA
"90",NA,0.657753605442177,0.3,"0.65 - 0.7",NA,NA
"91",NA,0.676209931972789,0.3,"0.65 - 0.7",NA,NA
"92",NA,0.686528299319728,0.3,"0.65 - 0.7",NA,NA
"93",NA,0.703541836734694,0.3,"0.7 - 0.75",NA,NA
"94",NA,0.714518639455782,0.3,"0.7 - 0.75",NA,NA
"95",NA,0.730577210884354,0.3,"0.7 - 0.75",NA,NA
"96",NA,0.746492585034014,0.3,"0.7 - 0.75",NA,NA
"97",NA,0.756442244897959,0.3,"0.75 - 0.8",NA,NA
"98",NA,0.771479863945578,0.3,"0.75 - 0.8",NA,NA
"99",NA,0.784719319727891,0.3,"0.75 - 0.8",NA,NA
"100",NA,0.794892993197279,0.3,"0.75 - 0.8",NA,NA
"101",NA,0.807460884353742,0.3,"0.8 - 1.0",NA,NA
"102",NA,0.817240952380952,0.3,"0.8 - 1.0",NA,NA
"103",NA,0.823005918367347,0.3,"0.8 - 1.0",NA,NA
"104",NA,0.837288571428571,0.3,"0.8 - 1.0",NA,NA
"105",NA,0.844655578231293,0.3,"0.8 - 1.0",NA,NA
"106",NA,0.854404149659864,0.3,"0.8 - 1.0",NA,NA
"107",NA,0.86362380952381,0.3,"0.8 - 1.0",NA,NA
"108",NA,0.870480340136055,0.3,"0.8 - 1.0",NA,NA
"109",NA,0.879698503401361,0.3,"0.8 - 1.0",NA,NA
"110",NA,0.885409047619048,0.3,"0.8 - 1.0",NA,NA
"111",2.89166666666667,0.10522387755102,0.4,"0.0 - 0.15",TRUE,NA
"113",3.01666666666667,0.117610544217687,0.4,"0.0 - 0.15",TRUE,NA
"114",2.98333333333333,0.127335714285714,0.4,"0.0 - 0.15",TRUE,NA
"115",3.1,0.138823605442177,0.4,"0.0 - 0.15",TRUE,NA
"116",3.1,0.153120340136054,0.4,"0.15 - 0.2",TRUE,NA
"117",3.20833333333333,0.161006530612245,0.4,"0.15 - 0.2",TRUE,NA
"118",3.50833333333333,0.173282244897959,0.4,"0.15 - 0.2",TRUE,NA
"119",3.74166666666667,0.192176530612245,0.4,"0.15 - 0.2",TRUE,NA
"120",3.74166666666667,0.197445238095238,0.4,"0.15 - 0.2",TRUE,NA
"121",3.81666666666667,0.207332244897959,0.4,"0.2 - 0.25",TRUE,NA
"122",4.04166666666667,0.232042108843537,0.4,"0.2 - 0.25",TRUE,NA
"123",4.39166666666667,0.240703401360544,0.4,"0.2 - 0.25",TRUE,NA
"124",4.50833333333333,0.265057346938776,0.4,"0.25 - 0.3",TRUE,NA
"125",4.50833333333333,0.269531224489796,0.4,"0.25 - 0.3",TRUE,NA
"126",4.71666666666667,0.288972517006803,0.4,"0.25 - 0.3",TRUE,NA
"127",4.99166666666667,0.30972231292517,0.4,"0.3 - 0.35",TRUE,NA
"128",5.44166666666667,0.324299863945578,0.4,"0.3 - 0.35",FALSE,NA
"129",5.46666666666667,0.345743265306122,0.4,"0.3 - 0.35",FALSE,NA
"130",5.825,0.359151972789116,0.4,"0.35 - 0.4",FALSE,NA
"131",6.55833333333333,0.383774693877551,0.4,"0.35 - 0.4",FALSE,NA
"132",6.71666666666667,0.396121088435374,0.4,"0.35 - 0.4",FALSE,NA
"133",7.10833333333333,0.414291428571429,0.4,"0.4 - 0.45",FALSE,NA
"134",7.275,0.433492721088435,0.4,"0.4 - 0.45",FALSE,NA
"135",7.94166666666667,0.453477414965986,0.4,"0.45 - 0.5",FALSE,NA
"136",8.3,0.47153843537415,0.4,"0.45 - 0.5",FALSE,NA
"137",8.91666666666667,0.49367843537415,0.4,"0.45 - 0.5",FALSE,NA
"138",9.29166666666667,0.506555646258503,0.4,"0.5 - 0.55",FALSE,NA
"139",10.225,0.526505238095238,0.4,"0.5 - 0.55",FALSE,NA
"140",11.2916666666667,0.548885850340136,0.4,"0.5 - 0.55",FALSE,NA
"141",11.9083333333333,0.565700884353741,0.4,"0.55 - 0.6",FALSE,NA
"142",12.6916666666667,0.579185646258503,0.4,"0.55 - 0.6",FALSE,NA
"143",13.725,0.594416530612245,0.4,"0.55 - 0.6",FALSE,NA
"144",14.5333333333333,0.615715850340136,0.4,"0.6 - 0.65",FALSE,NA
"145",15.8166666666667,0.633161224489796,0.4,"0.6 - 0.65",FALSE,NA
"146",17.5333333333333,0.649836258503401,0.4,"0.6 - 0.65",FALSE,NA
"147",NA,0.666191904761905,0.4,"0.65 - 0.7",NA,NA
"148",NA,0.678238231292517,0.4,"0.65 - 0.7",NA,NA
"149",NA,0.695221632653061,0.4,"0.65 - 0.7",NA,NA
"150",NA,0.708864353741497,0.4,"0.7 - 0.75",NA,NA
"151",NA,0.724037482993197,0.4,"0.7 - 0.75",NA,NA
"152",NA,0.73478768707483,0.4,"0.7 - 0.75",NA,NA
"153",NA,0.746673401360544,0.4,"0.7 - 0.75",NA,NA
