"","hrp2.Deletion.Allele.Frequency","micro","years"
"1",0.0996808506776012,"0%",0.0833333333333333
"2",0.0991635435015043,"0%",0.166666666666667
"3",0.0995933066803001,"0%",0.25
"4",0.0996400354805457,"0%",0.333333333333333
"5",0.0989263593046865,"0%",0.416666666666667
"6",0.0995964920788204,"0%",0.5
"7",0.099882312951355,"0%",0.583333333333333
"8",0.0998829863627633,"0%",0.666666666666667
"9",0.0998633634367949,"0%",0.75
"10",0.099365257793534,"0%",0.833333333333333
"11",0.0998211843601113,"0%",0.916666666666667
"12",0.10047345240635,"0%",1
"13",0.101155528997344,"0%",1.08333333333333
"14",0.101639397790184,"0%",1.16666666666667
"15",0.101997065809624,"0%",1.25
"16",0.102679716958844,"0%",1.33333333333333
"17",0.103111814722441,"0%",1.41666666666667
"18",0.102886280052243,"0%",1.5
"19",0.103476326431007,"0%",1.58333333333333
"20",0.10345723784926,"0%",1.66666666666667
"21",0.102770723270651,"0%",1.75
"22",0.10269912235761,"0%",1.83333333333333
"23",0.102462652089136,"0%",1.91666666666667
"24",0.102430607048023,"0%",2
"25",0.102208319325975,"0%",2.08333333333333
"26",0.101740589762545,"0%",2.16666666666667
"27",0.101998163023059,"0%",2.25
"28",0.102027690458103,"0%",2.33333333333333
"29",0.101738211573426,"0%",2.41666666666667
"30",0.10145056751618,"0%",2.5
"31",0.101528099338888,"0%",2.58333333333333
"32",0.101829442490947,"0%",2.66666666666667
"33",0.101908164861779,"0%",2.75
"34",0.101668948145028,"0%",2.83333333333333
"35",0.101771180573746,"0%",2.91666666666667
"36",0.102202987203991,"0%",3
"37",0.103128756004826,"0%",3.08333333333333
"38",0.102880676722412,"0%",3.16666666666667
"39",0.103190002666018,"0%",3.25
"40",0.103456996597862,"0%",3.33333333333333
"41",0.103794475035938,"0%",3.41666666666667
"42",0.103457018631675,"0%",3.5
"43",0.103894723057969,"0%",3.58333333333333
"44",0.104011168234271,"0%",3.66666666666667
"45",0.104217615932321,"0%",3.75
"46",0.10443551623215,"0%",3.83333333333333
"47",0.105093098100885,"0%",3.91666666666667
"48",0.105315145354397,"0%",4
"49",0.105575297746316,"0%",4.08333333333333
"50",0.105628590766191,"0%",4.16666666666667
"51",0.105481109750051,"0%",4.25
"52",0.105326616957236,"0%",4.33333333333333
"53",0.105523230079086,"0%",4.41666666666667
"54",0.105474097698941,"0%",4.5
"55",0.105508956132418,"0%",4.58333333333333
"56",0.105772767197329,"0%",4.66666666666667
"57",0.105983550789328,"0%",4.75
"58",0.105904147955062,"0%",4.83333333333333
"59",0.106240185320285,"0%",4.91666666666667
"60",0.105944113947952,"0%",5
"61",0.105650483484163,"0%",5.08333333333333
"62",0.105637159657562,"0%",5.16666666666667
"63",0.105834870164829,"0%",5.25
"64",0.106853209816871,"0%",5.33333333333333
"65",0.107326300713495,"0%",5.41666666666667
"66",0.107990467980709,"0%",5.5
"67",0.10851670923984,"0%",5.58333333333333
"68",0.108740582895356,"0%",5.66666666666667
"69",0.108364157135624,"0%",5.75
"70",0.108932622263431,"0%",5.83333333333333
"71",0.108990898683801,"0%",5.91666666666667
"72",0.110348396021365,"0%",6
"73",0.11051920942149,"0%",6.08333333333333
"74",0.110964795347712,"0%",6.16666666666667
"75",0.110866821352189,"0%",6.25
"76",0.110329496873813,"0%",6.33333333333333
"77",0.109780005978427,"0%",6.41666666666667
"78",0.110018073922317,"0%",6.5
"79",0.109862285553372,"0%",6.58333333333333
"80",0.109952412520062,"0%",6.66666666666667
"81",0.109621826853601,"0%",6.75
"82",0.109551319973527,"0%",6.83333333333333
"83",0.109084666153999,"0%",6.91666666666667
"84",0.108643082236341,"0%",7
"85",0.10840196430677,"0%",7.08333333333333
"86",0.107973849634369,"0%",7.16666666666667
"87",0.108151128062628,"0%",7.25
"88",0.108785573604591,"0%",7.33333333333333
"89",0.109356574815493,"0%",7.41666666666667
"90",0.109742470463381,"0%",7.5
"91",0.109879116099032,"0%",7.58333333333333
"92",0.109635417898015,"0%",7.66666666666667
"93",0.110557440692654,"0%",7.75
"94",0.111545886951878,"0%",7.83333333333333
"95",0.111014089308428,"0%",7.91666666666667
"96",0.111164548875776,"0%",8
"97",0.110722793522596,"0%",8.08333333333333
"98",0.110832768473382,"0%",8.16666666666667
"99",0.110849195709713,"0%",8.25
"100",0.111029636773763,"0%",8.33333333333333
"101",0.111433730976631,"0%",8.41666666666667
"102",0.11169173535048,"0%",8.5
"103",0.112136326991499,"0%",8.58333333333333
"104",0.111836724743033,"0%",8.66666666666667
"105",0.111704026563337,"0%",8.75
"106",0.111829844492253,"0%",8.83333333333333
"107",0.111355221889853,"0%",8.91666666666667
"108",0.11140608700876,"0%",9
"109",0.111797564242665,"0%",9.08333333333333
"110",0.112222050845533,"0%",9.16666666666667
"111",0.11240548606287,"0%",9.25
"112",0.11199071613704,"0%",9.33333333333333
"113",0.112292841647768,"0%",9.41666666666667
"114",0.112533130590014,"0%",9.5
"115",0.11226106844534,"0%",9.58333333333333
"116",0.11183960398866,"0%",9.66666666666667
"117",0.111560816952122,"0%",9.75
"118",0.111456813377075,"0%",9.83333333333333
"119",0.111763164346543,"0%",9.91666666666667
"120",0.111493095108627,"0%",10
"121",0.114072280663212,"0%",10.0833333333333
"122",0.1180155120369,"0%",10.1666666666667
"123",0.122737578114973,"0%",10.25
"124",0.127902835801908,"0%",10.3333333333333
"125",0.133754202950932,"0%",10.4166666666667
"126",0.139864920057837,"0%",10.5
"127",0.14507114262376,"0%",10.5833333333333
"128",0.150879427718468,"0%",10.6666666666667
"129",0.156489412165687,"0%",10.75
"130",0.162620726419042,"0%",10.8333333333333
"131",0.16841797361574,"0%",10.9166666666667
"132",0.174778052282411,"0%",11
"133",0.18179020230708,"0%",11.0833333333333
"134",0.188474047777157,"0%",11.1666666666667
"135",0.195434209887686,"0%",11.25
"136",0.203344026877972,"0%",11.3333333333333
"137",0.210699642091131,"0%",11.4166666666667
"138",0.218613187482444,"0%",11.5
"139",0.225528223146696,"0%",11.5833333333333
"140",0.233903120933752,"0%",11.6666666666667
"141",0.242346053788999,"0%",11.75
"142",0.251549979298642,"0%",11.8333333333333
"143",0.259107180498395,"0%",11.9166666666667
"144",0.268045859487563,"0%",12
"145",0.277093739943135,"0%",12.0833333333333
"146",0.285786187350996,"0%",12.1666666666667
"147",0.295001475588662,"0%",12.25
"148",0.304887753991474,"0%",12.3333333333333
"149",0.31515074583045,"0%",12.4166666666667
"150",0.324437870148052,"0%",12.5
"151",0.334328331560191,"0%",12.5833333333333
"152",0.344442790267666,"0%",12.6666666666667
"153",0.354593725271426,"0%",12.75
"154",0.364510823888462,"0%",12.8333333333333
"155",0.374213298113642,"0%",12.9166666666667
"156",0.384861127295966,"0%",13
"157",0.395609898431059,"0%",13.0833333333333
"158",0.406535538779763,"0%",13.1666666666667
"159",0.417224227379971,"0%",13.25
"160",0.427750057832753,"0%",13.3333333333333
"161",0.438750170091281,"0%",13.4166666666667
"162",0.449257047290116,"0%",13.5
"163",0.459567735407032,"0%",13.5833333333333
"164",0.470651146190173,"0%",13.6666666666667
"165",0.482372185296483,"0%",13.75
"166",0.492863682107137,"0%",13.8333333333333
"167",0.503754262385375,"0%",13.9166666666667
"168",0.516006999664288,"0%",14
"169",0.526438033190466,"0%",14.0833333333333
"170",0.538058803651733,"0%",14.1666666666667
"171",0.548872016801621,"0%",14.25
"172",0.558852021442306,"0%",14.3333333333333
"173",0.569617979547357,"0%",14.4166666666667
"174",0.579918336811581,"0%",14.5
"175",0.590612556210036,"0%",14.5833333333333
"176",0.60062880139362,"0%",14.6666666666667
"177",0.611094643041173,"0%",14.75
"178",0.620958724858584,"0%",14.8333333333333
"179",0.630230797597054,"0%",14.9166666666667
"180",0.64000136425871,"0%",15
"181",0.648835394927557,"0%",15.0833333333333
"182",0.657922903120499,"0%",15.1666666666667
"183",0.667812111157561,"0%",15.25
"184",0.676660464838743,"0%",15.3333333333333
"185",0.68612891627698,"0%",15.4166666666667
"186",0.694357237071933,"0%",15.5
"187",0.702459901548415,"0%",15.5833333333333
"188",0.71028217215177,"0%",15.6666666666667
"189",0.718302442218026,"0%",15.75
"190",0.725777281540469,"0%",15.8333333333333
"191",0.734053671226512,"0%",15.9166666666667
"192",0.741131555055264,"0%",16
"193",0.748740155835231,"0%",16.0833333333333
"194",0.756086870520824,"0%",16.1666666666667
"195",0.76328032163581,"0%",16.25
"196",0.769498324357677,"0%",16.3333333333333
"197",0.776717116699359,"0%",16.4166666666667
"198",0.782879960783039,"0%",16.5
"199",0.789844432505349,"0%",16.5833333333333
"200",0.795859512710294,"0%",16.6666666666667
"201",0.801845165484363,"0%",16.75
"202",0.807326239719836,"0%",16.8333333333333
"203",0.813050610611006,"0%",16.9166666666667
"204",0.818084711945552,"0%",17
"205",0.823231967407268,"0%",17.0833333333333
"206",0.828875086992789,"0%",17.1666666666667
"207",0.83355851647054,"0%",17.25
"208",0.837878094765822,"0%",17.3333333333333
"209",0.842390470196858,"0%",17.4166666666667
"210",0.846735993706223,"0%",17.5
"211",0.85121742411392,"0%",17.5833333333333
"212",0.855171138698818,"0%",17.6666666666667
"213",0.858787872093292,"0%",17.75
"214",0.862375135352777,"0%",17.8333333333333
"215",0.8663159341025,"0%",17.9166666666667
"216",0.869666840691699,"0%",18
"217",0.872631468391563,"0%",18.0833333333333
"218",0.875306927224292,"0%",18.1666666666667
"219",0.877833259552557,"0%",18.25
"220",0.880960453062437,"0%",18.3333333333333
"221",0.883519067236148,"0%",18.4166666666667
"222",0.886006701664379,"0%",18.5
"223",0.888418384883355,"0%",18.5833333333333
"224",0.89084796573221,"0%",18.6666666666667
"225",0.893155231261806,"0%",18.75
"226",0.89531765332927,"0%",18.8333333333333
"227",0.897668154601891,"0%",18.9166666666667
"228",0.899413792561215,"0%",19
"229",0.901359331225491,"0%",19.0833333333333
"230",0.903020978571792,"0%",19.1666666666667
"231",0.904831181551969,"0%",19.25
"232",0.906590997128395,"0%",19.3333333333333
"233",0.908115129175806,"0%",19.4166666666667
"234",0.909474054361962,"0%",19.5
"235",0.910850711319174,"0%",19.5833333333333
"236",0.912289011751909,"0%",19.6666666666667
"237",0.913507445147161,"0%",19.75
"238",0.914780293391063,"0%",19.8333333333333
"239",0.916067941292047,"0%",19.9166666666667
"240",0.9172531225299,"0%",20
"241",0.0996808506776012,"30% microscopy",0.0833333333333333
"242",0.0991635435015043,"30% microscopy",0.166666666666667
"243",0.0995933066803001,"30% microscopy",0.25
"244",0.0996400354805457,"30% microscopy",0.333333333333333
"245",0.0989263593046865,"30% microscopy",0.416666666666667
"246",0.0995964920788204,"30% microscopy",0.5
"247",0.099882312951355,"30% microscopy",0.583333333333333
"248",0.0998829863627633,"30% microscopy",0.666666666666667
"249",0.0998633634367949,"30% microscopy",0.75
"250",0.099365257793534,"30% microscopy",0.833333333333333
"251",0.0998211843601113,"30% microscopy",0.916666666666667
"252",0.10047345240635,"30% microscopy",1
"253",0.101155528997344,"30% microscopy",1.08333333333333
"254",0.101639397790184,"30% microscopy",1.16666666666667
"255",0.101997065809624,"30% microscopy",1.25
"256",0.102679716958844,"30% microscopy",1.33333333333333
"257",0.103111814722441,"30% microscopy",1.41666666666667
"258",0.102886280052243,"30% microscopy",1.5
"259",0.103476326431007,"30% microscopy",1.58333333333333
"260",0.10345723784926,"30% microscopy",1.66666666666667
"261",0.102770723270651,"30% microscopy",1.75
"262",0.10269912235761,"30% microscopy",1.83333333333333
"263",0.102462652089136,"30% microscopy",1.91666666666667
"264",0.102430607048023,"30% microscopy",2
"265",0.102208319325975,"30% microscopy",2.08333333333333
"266",0.101740589762545,"30% microscopy",2.16666666666667
"267",0.101998163023059,"30% microscopy",2.25
"268",0.102027690458103,"30% microscopy",2.33333333333333
"269",0.101738211573426,"30% microscopy",2.41666666666667
"270",0.10145056751618,"30% microscopy",2.5
"271",0.101528099338888,"30% microscopy",2.58333333333333
"272",0.101829442490947,"30% microscopy",2.66666666666667
"273",0.101908164861779,"30% microscopy",2.75
"274",0.101668948145028,"30% microscopy",2.83333333333333
"275",0.101771180573746,"30% microscopy",2.91666666666667
"276",0.102202987203991,"30% microscopy",3
"277",0.103128756004826,"30% microscopy",3.08333333333333
"278",0.102880676722412,"30% microscopy",3.16666666666667
"279",0.103190002666018,"30% microscopy",3.25
"280",0.103456996597862,"30% microscopy",3.33333333333333
"281",0.103794475035938,"30% microscopy",3.41666666666667
"282",0.103457018631675,"30% microscopy",3.5
"283",0.103894723057969,"30% microscopy",3.58333333333333
"284",0.104011168234271,"30% microscopy",3.66666666666667
"285",0.104217615932321,"30% microscopy",3.75
"286",0.10443551623215,"30% microscopy",3.83333333333333
"287",0.105093098100885,"30% microscopy",3.91666666666667
"288",0.105315145354397,"30% microscopy",4
"289",0.105575297746316,"30% microscopy",4.08333333333333
"290",0.105628590766191,"30% microscopy",4.16666666666667
"291",0.105481109750051,"30% microscopy",4.25
"292",0.105326616957236,"30% microscopy",4.33333333333333
"293",0.105523230079086,"30% microscopy",4.41666666666667
"294",0.105474097698941,"30% microscopy",4.5
"295",0.105508956132418,"30% microscopy",4.58333333333333
"296",0.105772767197329,"30% microscopy",4.66666666666667
"297",0.105983550789328,"30% microscopy",4.75
"298",0.105904147955062,"30% microscopy",4.83333333333333
"299",0.106240185320285,"30% microscopy",4.91666666666667
"300",0.105944113947952,"30% microscopy",5
"301",0.105650483484163,"30% microscopy",5.08333333333333
"302",0.105637159657562,"30% microscopy",5.16666666666667
"303",0.105834870164829,"30% microscopy",5.25
"304",0.106853209816871,"30% microscopy",5.33333333333333
"305",0.107326300713495,"30% microscopy",5.41666666666667
"306",0.107990467980709,"30% microscopy",5.5
"307",0.10851670923984,"30% microscopy",5.58333333333333
"308",0.108740582895356,"30% microscopy",5.66666666666667
"309",0.108364157135624,"30% microscopy",5.75
"310",0.108932622263431,"30% microscopy",5.83333333333333
"311",0.108990898683801,"30% microscopy",5.91666666666667
"312",0.110348396021365,"30% microscopy",6
"313",0.11051920942149,"30% microscopy",6.08333333333333
"314",0.110964795347712,"30% microscopy",6.16666666666667
"315",0.110866821352189,"30% microscopy",6.25
"316",0.110329496873813,"30% microscopy",6.33333333333333
"317",0.109780005978427,"30% microscopy",6.41666666666667
"318",0.110018073922317,"30% microscopy",6.5
"319",0.109862285553372,"30% microscopy",6.58333333333333
"320",0.109952412520062,"30% microscopy",6.66666666666667
"321",0.109621826853601,"30% microscopy",6.75
"322",0.109551319973527,"30% microscopy",6.83333333333333
"323",0.109084666153999,"30% microscopy",6.91666666666667
"324",0.108643082236341,"30% microscopy",7
"325",0.10840196430677,"30% microscopy",7.08333333333333
"326",0.107973849634369,"30% microscopy",7.16666666666667
"327",0.108151128062628,"30% microscopy",7.25
"328",0.108785573604591,"30% microscopy",7.33333333333333
"329",0.109356574815493,"30% microscopy",7.41666666666667
"330",0.109742470463381,"30% microscopy",7.5
"331",0.109879116099032,"30% microscopy",7.58333333333333
"332",0.109635417898015,"30% microscopy",7.66666666666667
"333",0.110557440692654,"30% microscopy",7.75
"334",0.111545886951878,"30% microscopy",7.83333333333333
"335",0.111014089308428,"30% microscopy",7.91666666666667
"336",0.111164548875776,"30% microscopy",8
"337",0.110722793522596,"30% microscopy",8.08333333333333
"338",0.110832768473382,"30% microscopy",8.16666666666667
"339",0.110849195709713,"30% microscopy",8.25
"340",0.111029636773763,"30% microscopy",8.33333333333333
"341",0.111433730976631,"30% microscopy",8.41666666666667
"342",0.11169173535048,"30% microscopy",8.5
"343",0.112136326991499,"30% microscopy",8.58333333333333
"344",0.111836724743033,"30% microscopy",8.66666666666667
"345",0.111704026563337,"30% microscopy",8.75
"346",0.111829844492253,"30% microscopy",8.83333333333333
"347",0.111355221889853,"30% microscopy",8.91666666666667
"348",0.11140608700876,"30% microscopy",9
"349",0.111797564242665,"30% microscopy",9.08333333333333
"350",0.112222050845533,"30% microscopy",9.16666666666667
"351",0.11240548606287,"30% microscopy",9.25
"352",0.11199071613704,"30% microscopy",9.33333333333333
"353",0.112292841647768,"30% microscopy",9.41666666666667
"354",0.112533130590014,"30% microscopy",9.5
"355",0.11226106844534,"30% microscopy",9.58333333333333
"356",0.11183960398866,"30% microscopy",9.66666666666667
"357",0.111560816952122,"30% microscopy",9.75
"358",0.111456813377075,"30% microscopy",9.83333333333333
"359",0.111763164346543,"30% microscopy",9.91666666666667
"360",0.111493095108627,"30% microscopy",10
"361",0.113680686138514,"30% microscopy",10.0833333333333
"362",0.117204972007626,"30% microscopy",10.1666666666667
"363",0.120238027587388,"30% microscopy",10.25
"364",0.123484597472525,"30% microscopy",10.3333333333333
"365",0.127387229068815,"30% microscopy",10.4166666666667
"366",0.130892848454089,"30% microscopy",10.5
"367",0.13433310812715,"30% microscopy",10.5833333333333
"368",0.138051079637627,"30% microscopy",10.6666666666667
"369",0.141313331892288,"30% microscopy",10.75
"370",0.14485388031463,"30% microscopy",10.8333333333333
"371",0.148718126273787,"30% microscopy",10.9166666666667
"372",0.153094958717853,"30% microscopy",11
"373",0.157650084660767,"30% microscopy",11.0833333333333
"374",0.162229711992479,"30% microscopy",11.1666666666667
"375",0.166621172752455,"30% microscopy",11.25
"376",0.170396231038144,"30% microscopy",11.3333333333333
"377",0.174719603382657,"30% microscopy",11.4166666666667
"378",0.178882299649517,"30% microscopy",11.5
"379",0.182882724103529,"30% microscopy",11.5833333333333
"380",0.186983854653204,"30% microscopy",11.6666666666667
"381",0.191529716847802,"30% microscopy",11.75
"382",0.195533280893452,"30% microscopy",11.8333333333333
"383",0.199911835375745,"30% microscopy",11.9166666666667
"384",0.203904929807289,"30% microscopy",12
"385",0.208152912837694,"30% microscopy",12.0833333333333
"386",0.212734026887864,"30% microscopy",12.1666666666667
"387",0.217882000451332,"30% microscopy",12.25
"388",0.223050074333643,"30% microscopy",12.3333333333333
"389",0.227644245003992,"30% microscopy",12.4166666666667
"390",0.232895522252543,"30% microscopy",12.5
"391",0.237428888150068,"30% microscopy",12.5833333333333
"392",0.242503821997102,"30% microscopy",12.6666666666667
"393",0.248250615731951,"30% microscopy",12.75
"394",0.254058061709412,"30% microscopy",12.8333333333333
"395",0.258645298188208,"30% microscopy",12.9166666666667
"396",0.264564661948839,"30% microscopy",13
"397",0.270550906779067,"30% microscopy",13.0833333333333
"398",0.277424207796465,"30% microscopy",13.1666666666667
"399",0.283003616390054,"30% microscopy",13.25
"400",0.289363093085486,"30% microscopy",13.3333333333333
"401",0.295494845147791,"30% microscopy",13.4166666666667
"402",0.301578891255686,"30% microscopy",13.5
"403",0.308000506412735,"30% microscopy",13.5833333333333
"404",0.314030821118696,"30% microscopy",13.6666666666667
"405",0.31992598262034,"30% microscopy",13.75
"406",0.326365337344137,"30% microscopy",13.8333333333333
"407",0.333476398250074,"30% microscopy",13.9166666666667
"408",0.340413735454771,"30% microscopy",14
"409",0.34623060023388,"30% microscopy",14.0833333333333
"410",0.352692100841217,"30% microscopy",14.1666666666667
"411",0.358685444371017,"30% microscopy",14.25
"412",0.365738543431254,"30% microscopy",14.3333333333333
"413",0.373151763114998,"30% microscopy",14.4166666666667
"414",0.380763722727951,"30% microscopy",14.5
"415",0.388151664291484,"30% microscopy",14.5833333333333
"416",0.395705779788455,"30% microscopy",14.6666666666667
"417",0.404011202772836,"30% microscopy",14.75
"418",0.411561411206818,"30% microscopy",14.8333333333333
"419",0.419439702236676,"30% microscopy",14.9166666666667
"420",0.426645708469472,"30% microscopy",15
"421",0.433526435218365,"30% microscopy",15.0833333333333
"422",0.441340456998006,"30% microscopy",15.1666666666667
"423",0.448537616617871,"30% microscopy",15.25
"424",0.45587341764051,"30% microscopy",15.3333333333333
"425",0.46450708800363,"30% microscopy",15.4166666666667
"426",0.472249074896867,"30% microscopy",15.5
"427",0.47952688326208,"30% microscopy",15.5833333333333
"428",0.487546054826941,"30% microscopy",15.6666666666667
"429",0.493926131697542,"30% microscopy",15.75
"430",0.500629483041168,"30% microscopy",15.8333333333333
"431",0.507794275084188,"30% microscopy",15.9166666666667
"432",0.514740473393957,"30% microscopy",16
"433",0.521168939215612,"30% microscopy",16.0833333333333
"434",0.528126169088484,"30% microscopy",16.1666666666667
"435",0.535516299153015,"30% microscopy",16.25
"436",0.542837105851678,"30% microscopy",16.3333333333333
"437",0.550607643569117,"30% microscopy",16.4166666666667
"438",0.558048073035057,"30% microscopy",16.5
"439",0.565935507572854,"30% microscopy",16.5833333333333
"440",0.573317857650852,"30% microscopy",16.6666666666667
"441",0.580151312632287,"30% microscopy",16.75
"442",0.585602396118274,"30% microscopy",16.8333333333333
"443",0.59199834826147,"30% microscopy",16.9166666666667
"444",0.598982212999595,"30% microscopy",17
"445",0.606066585972864,"30% microscopy",17.0833333333333
"446",0.612710636554774,"30% microscopy",17.1666666666667
"447",0.619790669130802,"30% microscopy",17.25
"448",0.626225616375398,"30% microscopy",17.3333333333333
"449",0.633197320897014,"30% microscopy",17.4166666666667
"450",0.6401315895936,"30% microscopy",17.5
"451",0.6473927100007,"30% microscopy",17.5833333333333
"452",0.653966513564003,"30% microscopy",17.6666666666667
"453",0.660396967939531,"30% microscopy",17.75
"454",0.667438927295204,"30% microscopy",17.8333333333333
"455",0.672851895825094,"30% microscopy",17.9166666666667
"456",0.678956997110877,"30% microscopy",18
"457",0.684905525087805,"30% microscopy",18.0833333333333
"458",0.691306745689439,"30% microscopy",18.1666666666667
"459",0.697476404618748,"30% microscopy",18.25
"460",0.70343766748264,"30% microscopy",18.3333333333333
"461",0.709103430096783,"30% microscopy",18.4166666666667
"462",0.713906186432575,"30% microscopy",18.5
"463",0.718939444152167,"30% microscopy",18.5833333333333
"464",0.724763394180448,"30% microscopy",18.6666666666667
"465",0.730680194564371,"30% microscopy",18.75
"466",0.735651674862337,"30% microscopy",18.8333333333333
"467",0.741209999583495,"30% microscopy",18.9166666666667
"468",0.746728965997579,"30% microscopy",19
"469",0.752109142540032,"30% microscopy",19.0833333333333
"470",0.756967074396108,"30% microscopy",19.1666666666667
"471",0.761934827609304,"30% microscopy",19.25
"472",0.766580158130204,"30% microscopy",19.3333333333333
"473",0.771631973893534,"30% microscopy",19.4166666666667
"474",0.7761704669526,"30% microscopy",19.5
"475",0.780604685562101,"30% microscopy",19.5833333333333
"476",0.785458937026137,"30% microscopy",19.6666666666667
"477",0.789432004799189,"30% microscopy",19.75
"478",0.793352942103567,"30% microscopy",19.8333333333333
"479",0.797684093758845,"30% microscopy",19.9166666666667
"480",0.801942018679385,"30% microscopy",20
"481",0.0996808506776012,"10% nonadherence",0.0833333333333333
"482",0.0991635435015043,"10% nonadherence",0.166666666666667
"483",0.0995933066803001,"10% nonadherence",0.25
"484",0.0996400354805457,"10% nonadherence",0.333333333333333
"485",0.0989263593046865,"10% nonadherence",0.416666666666667
"486",0.0995964920788204,"10% nonadherence",0.5
"487",0.099882312951355,"10% nonadherence",0.583333333333333
"488",0.0998829863627633,"10% nonadherence",0.666666666666667
"489",0.0998633634367949,"10% nonadherence",0.75
"490",0.099365257793534,"10% nonadherence",0.833333333333333
"491",0.0998211843601113,"10% nonadherence",0.916666666666667
"492",0.10047345240635,"10% nonadherence",1
"493",0.101155528997344,"10% nonadherence",1.08333333333333
"494",0.101639397790184,"10% nonadherence",1.16666666666667
"495",0.101997065809624,"10% nonadherence",1.25
"496",0.102679716958844,"10% nonadherence",1.33333333333333
"497",0.103111814722441,"10% nonadherence",1.41666666666667
"498",0.102886280052243,"10% nonadherence",1.5
"499",0.103476326431007,"10% nonadherence",1.58333333333333
"500",0.10345723784926,"10% nonadherence",1.66666666666667
"501",0.102770723270651,"10% nonadherence",1.75
"502",0.10269912235761,"10% nonadherence",1.83333333333333
"503",0.102462652089136,"10% nonadherence",1.91666666666667
"504",0.102430607048023,"10% nonadherence",2
"505",0.102208319325975,"10% nonadherence",2.08333333333333
"506",0.101740589762545,"10% nonadherence",2.16666666666667
"507",0.101998163023059,"10% nonadherence",2.25
"508",0.102027690458103,"10% nonadherence",2.33333333333333
"509",0.101738211573426,"10% nonadherence",2.41666666666667
"510",0.10145056751618,"10% nonadherence",2.5
"511",0.101528099338888,"10% nonadherence",2.58333333333333
"512",0.101829442490947,"10% nonadherence",2.66666666666667
"513",0.101908164861779,"10% nonadherence",2.75
"514",0.101668948145028,"10% nonadherence",2.83333333333333
"515",0.101771180573746,"10% nonadherence",2.91666666666667
"516",0.102202987203991,"10% nonadherence",3
"517",0.103128756004826,"10% nonadherence",3.08333333333333
"518",0.102880676722412,"10% nonadherence",3.16666666666667
"519",0.103190002666018,"10% nonadherence",3.25
"520",0.103456996597862,"10% nonadherence",3.33333333333333
