,hrp2.Deletion.Allele.Frequency_A,Prevalence,Years,hrp2.Deletion.Allele.Frequency_B,Starting Frequency,Years,hrp2.Deletion.Allele.Frequency_CD,Proportion.of.Monoinfections.Due.to.hrp2.Deleted.Strains,PCR.Prevalence
58,0.080923038,10,4.833333333,0.01660188,12,4.833333333,0.638957846,0.414194104,0.164932333
59,0.082139162,10,4.916666667,0.016739804,12,4.916666667,0.660753112,0.429804198,0.176181
60,0.082711664,10,5,0.01679522,12,5,0.582541229,0.376346658,0.181158333
61,0.084207914,10,5.083333333,0.016709436,12,5.083333333,0.632397983,0.413981223,0.202304667
62,0.084507538,10,5.166666667,0.016581657,12,5.166666667,0.476824568,0.302125665,0.197020667
63,0.084807087,10,5.25,0.016727129,12,5.25,0.561599635,0.36378115,0.209714
64,0.085512992,10,5.333333333,0.016564626,12,5.333333333,0.436240426,0.278884045,0.222804667
65,0.086410707,10,5.416666667,0.016660388,12,5.416666667,0.431065223,0.27246967,0.228211333
66,0.086350414,10,5.5,0.016634592,12,5.5,0.447961541,0.284557765,0.246223
67,0.086844335,10,5.583333333,0.016757593,12,5.583333333,0.414806167,0.265589592,0.253299333
68,0.087675099,10,5.666666667,0.016702004,12,5.666666667,0.366165928,0.232798909,0.261049333
69,0.088136306,10,5.75,0.016770476,12,5.75,0.3911028,0.245831509,0.285495
70,0.088825906,10,5.833333333,0.016642418,12,5.833333333,0.335926349,0.210711068,0.301874667
71,0.088941487,10,5.916666667,0.016628119,12,5.916666667,0.395503571,0.249727604,0.327036333
72,0.087879399,10,6,0.016545635,12,6,0.323347036,0.203121961,0.327379667
73,0.088861398,10,6.083333333,0.016189548,12,6.083333333,0.341723742,0.2124076,0.354573
74,0.089083217,10,6.166666667,0.015995196,12,6.166666667,0.325004388,0.200010592,0.365049
75,0.090140999,10,6.25,0.015919227,12,6.25,0.277686102,0.169185235,0.381676333
76,0.090582818,10,6.333333333,0.015802383,12,6.333333333,0.26057073,0.155119308,0.403117667
77,0.090685632,10,6.416666667,0.015667551,12,6.416666667,0.260566447,0.155960909,0.411310333
78,0.091379573,10,6.5,0.015442557,12,6.5,0.235001082,0.135739591,0.429796
79,0.090884344,10,6.583333333,0.015133356,12,6.583333333,0.193462435,0.11125025,0.452520333
80,0.090940426,10,6.666666667,0.014860009,12,6.666666667,0.209818857,0.121514658,0.467828333
81,0.09050356,10,6.75,0.014603379,12,6.75,0.206725669,0.117186015,0.489299
82,0.090023554,10,6.833333333,0.014706652,12,6.833333333,0.197860868,0.10855803,0.504532
83,0.089416455,10,6.916666667,0.014910703,12,6.916666667,0.183031222,0.100348163,0.525424
84,0.089431384,10,7,0.015120657,12,7,0.173501832,0.090503413,0.542900333
85,0.089562976,10,7.083333333,0.015161423,12,7.083333333,0.148690876,0.076836256,0.559653333
86,0.08887174,10,7.166666667,0.015112456,12,7.166666667,0.149452683,0.078374609,0.576985333
87,0.08883004,10,7.25,0.014702005,12,7.25,0.149521616,0.076092367,0.591277
88,0.088166846,10,7.333333333,0.014966769,12,7.333333333,0.143040192,0.069073961,0.608502333
89,0.087992194,10,7.416666667,0.014951906,12,7.416666667,0.135473232,0.063428428,0.628661333
90,0.088277534,10,7.5,0.014710441,12,7.5,0.135663057,0.063388726,0.639093667
91,0.088080984,10,7.583333333,0.014704544,12,7.583333333,0.13811067,0.064442081,0.657810333
92,0.08707217,10,7.666666667,0.014914925,12,7.666666667,0.125194894,0.055096628,0.668062667
93,0.086496175,10,7.75,0.015103956,12,7.75,0.111848792,0.047502967,0.683157333
94,0.086390922,10,7.833333333,0.015449555,12,7.833333333,0.117380246,0.047131756,0.704705333
95,0.084486544,10,7.916666667,0.015527082,12,7.916666667,0.111160551,0.044773149,0.710150333
96,0.084713652,10,8,0.015241658,12,8,0.115361095,0.044516045,0.730178667
97,0.084048716,10,8.083333333,0.014905648,12,8.083333333,0.109026685,0.040621578,0.742347667
98,0.084048156,10,8.166666667,0.014655855,12,8.166666667,0.103090506,0.037530578,0.751911333
99,0.083147543,10,8.25,0.014638198,12,8.25,0.107604455,0.038024317,0.768078667
100,0.082537218,10,8.333333333,0.014408543,12,8.333333333,0.097835302,0.031866422,0.776355333
101,0.082684561,10,8.416666667,0.014565882,12,8.416666667,0.097487656,0.030827972,0.792256667
102,0.082901147,10,8.5,0.014772877,12,8.5,0.099692777,0.030938166,0.802978
103,0.083038506,10,8.583333333,0.014816464,12,8.583333333,0.095344574,0.029289018,0.809416
104,0.081471127,10,8.666666667,0.014816604,12,8.666666667,0.092240595,0.026548956,0.823108333
105,0.080696193,10,8.75,0.014653586,12,8.75,0.095332266,0.025663702,0.830706333
106,0.081004929,10,8.833333333,0.014514968,12,8.833333333,0.088680074,0.023090579,0.843056667
107,0.080295299,10,8.916666667,0.014513419,12,8.916666667,0.088807273,0.021519514,0.851614667
108,0.079798255,10,9,0.014429563,12,9,0.091988532,0.022186179,0.859874667
109,0.079321864,10,9.083333333,0.01450758,12,9.083333333,0.090097958,0.020975314,0.866606
110,0.078600274,10,9.166666667,0.014484286,12,9.166666667,0.088831435,0.018825964,0.87158
111,0.07947374,10,9.25,0.014549972,12,9.25,0.598754406,0.381451945,0.148256333
112,0.078531133,10,9.333333333,0.014399595,12,9.333333333,0.618961266,0.39010428,0.143651333
113,0.079394926,10,9.416666667,0.014351337,12,9.416666667,0.651409303,0.422642989,0.162349
114,0.078982906,10,9.5,0.014288185,12,9.5,0.586295885,0.377223804,0.16507
115,0.078221464,10,9.583333333,0.014318325,12,9.583333333,0.50861349,0.321064754,0.173523667
116,0.077926769,10,9.666666667,0.014280524,12,9.666666667,0.605978207,0.396852944,0.195526667
117,0.077892889,10,9.75,0.014430244,12,9.75,0.54054468,0.346397245,0.200841667
118,0.078882438,10,9.833333333,0.014317812,12,9.833333333,0.453264456,0.287898909,0.203064333
119,0.078830602,10,9.916666667,0.014431446,12,9.916666667,0.382367729,0.242134493,0.220392667
120,0.078757791,10,10,0.014328611,12,10,0.405373167,0.257894499,0.228566333
121,0.080953699,10,10.08333333,0.014775363,12,10.08333333,0.513528119,0.33354906,0.252376667
122,0.084464789,10,10.16666667,0.01523464,12,10.16666667,0.390573412,0.248698276,0.250949333
123,0.087363501,10,10.25,0.015780726,12,10.25,0.417160137,0.26338815,0.267743
124,0.091944754,10,10.33333333,0.016438484,12,10.33333333,0.36567628,0.230040422,0.284166
125,0.095797904,10,10.41666667,0.016863273,12,10.41666667,0.330455979,0.203443016,0.301789667
126,0.0992968,10,10.5,0.01725741,12,10.5,0.275562466,0.171614793,0.314833
127,0.104453645,10,10.58333333,0.017547884,12,10.58333333,0.332847301,0.207149598,0.327776
128,0.109881504,10,10.66666667,0.018347281,12,10.66666667,0.274278048,0.164849289,0.347784333
129,0.114543887,10,10.75,0.0188919,12,10.75,0.305066072,0.187927396,0.365488667
130,0.119094105,10,10.83333333,0.019624191,12,10.83333333,0.272654749,0.164753207,0.380433667
131,0.123960633,10,10.91666667,0.020298161,12,10.91666667,0.24456924,0.145546068,0.400762
132,0.130567878,10,11,0.02111786,12,11,0.266265786,0.158082773,0.414348333
133,0.135048389,10,11.08333333,0.02174592,12,11.08333333,0.227331845,0.132474976,0.426991333
134,0.140767921,10,11.16666667,0.022296107,12,11.16666667,0.213982242,0.12517878,0.452837667
135,0.145802143,10,11.25,0.023337266,12,11.25,0.201662995,0.113076649,0.468027667
136,0.150121597,10,11.33333333,0.024169083,12,11.33333333,0.201025037,0.112745447,0.487478667
137,0.15581336,10,11.41666667,0.025388286,12,11.41666667,0.198095988,0.108896436,0.505048667
138,0.162428408,10,11.5,0.026412464,12,11.5,0.197348051,0.107152215,0.522863667
139,0.170187364,10,11.58333333,0.02744413,12,11.58333333,0.180853189,0.096756543,0.544018333
140,0.178952263,10,11.66666667,0.02830412,12,11.66666667,0.15847657,0.081240317,0.558749667
141,0.186636447,10,11.75,0.029365841,12,11.75,0.14987705,0.07590081,0.577776
142,0.19673117,10,11.83333333,0.030688407,12,11.83333333,0.142859148,0.07133878,0.591847333
143,0.203820182,10,11.91666667,0.031557265,12,11.91666667,0.14871449,0.07088468,0.606520333
144,0.212260315,10,12,0.032522284,12,12,0.140261032,0.066677218,0.625526
145,0.223251389,10,12.08333333,0.033827365,12,12.08333333,0.136788748,0.062594991,0.639971333
146,0.23256112,10,12.16666667,0.034801384,12,12.16666667,0.132713771,0.059494039,0.657270333
147,0.240991584,10,12.25,0.036160538,12,12.25,0.123705255,0.054897466,0.671190667
148,0.24879539,10,12.33333333,0.037614089,12,12.33333333,0.117212112,0.050246139,0.680782
149,0.259624677,10,12.41666667,0.038757891,12,12.41666667,0.118848579,0.049348889,0.701954333
150,0.269079139,10,12.5,0.040681237,12,12.5,0.115845859,0.046852588,0.713443333
151,0.277401183,10,12.58333333,0.04228996,12,12.58333333,0.119251063,0.046464045,0.731971
152,0.288532558,10,12.66666667,0.043905948,12,12.66666667,0.11222625,0.041170429,0.741608333
153,0.297360672,10,12.75,0.045501286,12,12.75,0.112369206,0.041147899,0.752075667
154,0.307959236,10,12.83333333,0.047081789,12,12.83333333,0.095832961,0.032673165,0.768204333
155,0.317658395,10,12.91666667,0.048653039,12,12.91666667,0.100788466,0.033634433,0.779290667
156,0.327013147,10,13,0.050129122,12,13,0.099830928,0.031930099,0.792439333
157,0.337706122,10,13.08333333,0.051829579,12,13.08333333,0.095111991,0.028998243,0.801485333
158,0.349887139,10,13.16666667,0.05317134,12,13.16666667,0.103737036,0.031876089,0.809938333
159,0.36135557,10,13.25,0.054477025,12,13.25,0.094911684,0.026510736,0.822358667
160,0.37283139,10,13.33333333,0.056506225,12,13.33333333,0.09355148,0.026110863,0.831493
161,0.384309931,10,13.41666667,0.058852563,12,13.41666667,0.09353014,0.02421718,0.843808667
162,0.397366377,10,13.5,0.061078061,12,13.5,0.089308172,0.022184597,0.851476667
163,0.409690014,10,13.58333333,0.063243214,12,13.58333333,0.089768922,0.021336356,0.858394
164,0.420841769,10,13.66666667,0.065080001,12,13.66666667,0.090590454,0.020639252,0.867085667
165,0.43267753,10,13.75,0.066789708,12,13.75,0.090656064,0.020484982,0.872183667
166,0.442709624,10,13.83333333,0.068669188,12,13.83333333,0.611309393,0.396224867,0.150334667
167,0.454268002,10,13.91666667,0.071153699,12,13.91666667,0.630591651,0.398390564,0.144812667
168,0.467070153,10,14,0.073439566,12,14,0.55143073,0.349241988,0.153361667
169,0.477749045,10,14.08333333,0.075762161,12,14.08333333,0.630606609,0.407558854,0.167194667
170,0.490565333,10,14.16666667,0.077949432,12,14.16666667,0.562437253,0.363518118,0.181184
171,0.503604624,10,14.25,0.080573737,12,14.25,0.555606855,0.357930502,0.192678
172,0.517047317,10,14.33333333,0.082759163,12,14.33333333,0.429874975,0.268891034,0.191325333
173,0.529214643,10,14.41666667,0.085574397,12,14.41666667,0.584207995,0.376226671,0.214843
174,0.542647895,10,14.5,0.088118652,12,14.5,0.459369702,0.29061464,0.220606
175,0.554471334,10,14.58333333,0.090619487,12,14.58333333,0.453049607,0.290740743,0.231015667
176,0.567963229,10,14.66666667,0.093338333,12,14.66666667,0.416030611,0.262566441,0.246019
177,0.580695482,10,14.75,0.095655758,12,14.75,0.400369191,0.247980698,0.250746667
178,0.594437063,10,14.83333333,0.097981346,12,14.83333333,0.375173164,0.235169819,0.258549333
179,0.607981761,10,14.91666667,0.10079007,12,14.91666667,0.374584642,0.238042441,0.283502667
180,0.62131675,10,15,0.103146945,12,15,0.365139853,0.226322127,0.306186
181,0.633680065,10,15.08333333,0.10620172,12,15.08333333,0.33300375,0.206713744,0.32004
182,0.645921409,10,15.16666667,0.109629486,12,15.16666667,0.343479466,0.212367416,0.327969333
183,0.657746157,10,15.25,0.113370015,12,15.25,0.295250838,0.178850778,0.35073
184,0.669405307,10,15.33333333,0.117315157,12,15.33333333,0.270607652,0.164737234,0.361620333
