,hrp2 deletion frequency after 20 years,PfPR,ft,PfPR_grouped
115,99.99344018,0.138823605,0.4,0.0 - 0.15
116,99.99868329,0.15312034,0.4,0.15 - 0.2
117,99.99190949,0.161006531,0.4,0.15 - 0.2
118,99.97993456,0.173282245,0.4,0.15 - 0.2
119,99.9884444,0.192176531,0.4,0.15 - 0.2
120,99.96243029,0.197445238,0.4,0.15 - 0.2
121,99.98331635,0.207332245,0.4,0.2 - 0.25
122,99.94930216,0.232042109,0.4,0.2 - 0.25
123,99.95493625,0.240703401,0.4,0.2 - 0.25
124,99.94380936,0.265057347,0.4,0.25 - 0.3
125,99.94089657,0.269531224,0.4,0.25 - 0.3
126,99.87501577,0.288972517,0.4,0.25 - 0.3
127,99.80936711,0.309722313,0.4,0.3 - 0.35
128,99.72308102,0.324299864,0.4,0.3 - 0.35
129,99.66514903,0.345743265,0.4,0.3 - 0.35
130,99.40825735,0.359151973,0.4,0.35 - 0.4
131,99.06387599,0.383774694,0.4,0.35 - 0.4
132,98.76261548,0.396121088,0.4,0.35 - 0.4
133,98.15977764,0.414291429,0.4,0.4 - 0.45
134,97.73391818,0.433492721,0.4,0.4 - 0.45
135,96.3485725,0.453477415,0.4,0.45 - 0.5
136,95.01962707,0.471538435,0.4,0.45 - 0.5
137,93.11702422,0.493678435,0.4,0.45 - 0.5
138,91.83489415,0.506555646,0.4,0.5 - 0.55
139,87.27438999,0.526505238,0.4,0.5 - 0.55
140,81.19367475,0.54888585,0.4,0.5 - 0.55
141,76.70221902,0.565700884,0.4,0.55 - 0.6
142,72.00550776,0.579185646,0.4,0.55 - 0.6
143,66.17146139,0.594416531,0.4,0.55 - 0.6
144,61.77609452,0.61571585,0.4,0.6 - 0.65
145,54.6534397,0.633161224,0.4,0.6 - 0.65
146,48.29851528,0.649836259,0.4,0.6 - 0.65
147,41.56377873,0.666191905,0.4,0.65 - 0.7
148,39.50860225,0.678238231,0.4,0.65 - 0.7
149,34.82316995,0.695221633,0.4,0.65 - 0.7
150,33.33447225,0.708864354,0.4,0.7 - 0.75
151,29.9550316,0.724037483,0.4,0.7 - 0.75
152,28.19974829,0.734787687,0.4,0.7 - 0.75
153,25.57370916,0.746673401,0.4,0.7 - 0.75
154,22.28326273,0.762752789,0.4,0.75 - 0.8
155,20.71651423,0.77421619,0.4,0.75 - 0.8
156,18.92515688,0.790143605,0.4,0.75 - 0.8
157,18.16411797,0.797535238,0.4,0.75 - 0.8
158,16.83066325,0.807869116,0.4,0.8 - 1.0
159,14.87763066,0.819423401,0.4,0.8 - 1.0
160,14.54290545,0.82828966,0.4,0.8 - 1.0
161,13.64114726,0.839663946,0.4,0.8 - 1.0
162,13.24952878,0.845736939,0.4,0.8 - 1.0
163,12.77616918,0.853865714,0.4,0.8 - 1.0
164,11.88860952,0.86327517,0.4,0.8 - 1.0
165,11.24988886,0.870447143,0.4,0.8 - 1.0
167,100,0.086347891,0.5,0.0 - 0.15
168,100,0.096728367,0.5,0.0 - 0.15
169,100,0.109269048,0.5,0.0 - 0.15
170,100,0.117255374,0.5,0.0 - 0.15
171,100,0.135313401,0.5,0.0 - 0.15
172,100,0.13663517,0.5,0.0 - 0.15
173,100,0.142203401,0.5,0.0 - 0.15
174,100,0.167571361,0.5,0.15 - 0.2
175,100,0.173885102,0.5,0.15 - 0.2
176,99.99932025,0.186988776,0.5,0.15 - 0.2
177,99.9934712,0.195863741,0.5,0.15 - 0.2
178,100,0.210501837,0.5,0.2 - 0.25
179,99.99766364,0.227914286,0.5,0.2 - 0.25
180,99.99523807,0.237929728,0.5,0.2 - 0.25
181,99.99112924,0.260912041,0.5,0.25 - 0.3
182,99.99676867,0.275470068,0.5,0.25 - 0.3
183,99.99301112,0.297782993,0.5,0.25 - 0.3
184,99.96603891,0.316153129,0.5,0.3 - 0.35
185,99.96523718,0.331236463,0.5,0.3 - 0.35
186,99.93964367,0.35073619,0.5,0.35 - 0.4
187,99.94064628,0.363798095,0.5,0.35 - 0.4
188,99.89957845,0.381900612,0.5,0.35 - 0.4
189,99.84138985,0.405341633,0.5,0.4 - 0.45
190,99.78996788,0.421591769,0.5,0.4 - 0.45
191,99.51989603,0.447000816,0.5,0.4 - 0.45
192,99.26777408,0.463375782,0.5,0.45 - 0.5
193,99.18868227,0.47405483,0.5,0.45 - 0.5
194,98.22108747,0.498430544,0.5,0.45 - 0.5
195,97.38697911,0.519526599,0.5,0.5 - 0.55
196,94.90293715,0.543234694,0.5,0.5 - 0.55
197,94.74352225,0.54998,0.5,0.5 - 0.55
198,90.43531566,0.569007211,0.5,0.55 - 0.6
199,85.1567259,0.594035782,0.5,0.55 - 0.6
200,83.22914733,0.606362789,0.5,0.6 - 0.65
201,75.15968034,0.622746531,0.5,0.6 - 0.65
202,67.28520849,0.644447891,0.5,0.6 - 0.65
203,63.83920953,0.651270408,0.5,0.65 - 0.7
204,56.14887705,0.672014354,0.5,0.65 - 0.7
205,49.47994225,0.686563333,0.5,0.65 - 0.7
206,44.17054441,0.702761973,0.5,0.7 - 0.75
207,40.5977271,0.717467347,0.5,0.7 - 0.75
208,36.41082852,0.730303946,0.5,0.7 - 0.75
209,31.13155826,0.74660619,0.5,0.7 - 0.75
210,28.98279214,0.754407687,0.5,0.75 - 0.8
211,26.04881414,0.768558503,0.5,0.75 - 0.8
212,22.41468966,0.779523469,0.5,0.75 - 0.8
213,21.94753562,0.787462585,0.5,0.75 - 0.8
214,19.52650815,0.802596531,0.5,0.8 - 1.0
215,17.95213862,0.812511361,0.5,0.8 - 1.0
216,16.33114338,0.822239456,0.5,0.8 - 1.0
217,15.58080792,0.832708367,0.5,0.8 - 1.0
218,15.66801636,0.838830952,0.5,0.8 - 1.0
219,13.7081241,0.848878639,0.5,0.8 - 1.0
220,13.39948705,0.85509483,0.5,0.8 - 1.0
221,100,0.061053197,0.6,0.0 - 0.15
222,100,0.062460136,0.6,0.0 - 0.15
223,100,0.07270415,0.6,0.0 - 0.15
224,100,0.085857347,0.6,0.0 - 0.15
225,100,0.087362925,0.6,0.0 - 0.15
226,100,0.105988095,0.6,0.0 - 0.15
228,100,0.12458415,0.6,0.0 - 0.15
229,100,0.129839116,0.6,0.0 - 0.15
230,100,0.151090204,0.6,0.15 - 0.2
231,100,0.164604966,0.6,0.15 - 0.2
232,100,0.180057347,0.6,0.15 - 0.2
233,100,0.181858231,0.6,0.15 - 0.2
234,100,0.199736939,0.6,0.15 - 0.2
235,100,0.211469728,0.6,0.2 - 0.25
236,100,0.237264014,0.6,0.2 - 0.25
237,100,0.253668299,0.6,0.25 - 0.3
238,100,0.268616327,0.6,0.25 - 0.3
239,99.99952762,0.285717959,0.6,0.25 - 0.3
240,99.9997136,0.298393129,0.6,0.25 - 0.3
241,99.99791308,0.326683129,0.6,0.3 - 0.35
242,99.99683112,0.339842993,0.6,0.3 - 0.35
243,99.99611888,0.354698503,0.6,0.35 - 0.4
244,99.98339525,0.374051156,0.6,0.35 - 0.4
245,99.98484246,0.396515442,0.6,0.35 - 0.4
