"","hrp2.Deletion.Allele.Frequency","level","years"
"1",0.0992107992850587,"0%",0.0833333333333333
"2",0.0997140915760433,"0%",0.166666666666667
"3",0.0997608761572806,"0%",0.25
"4",0.0998477252637239,"0%",0.333333333333333
"5",0.100597406736518,"0%",0.416666666666667
"6",0.10062846984137,"0%",0.5
"7",0.100643044205857,"0%",0.583333333333333
"8",0.101249854246001,"0%",0.666666666666667
"9",0.100877972285734,"0%",0.75
"10",0.100414369061231,"0%",0.833333333333333
"11",0.100134723739601,"0%",0.916666666666667
"12",0.0999332518278318,"0%",1
"13",0.0995600220097314,"0%",1.08333333333333
"14",0.0991620634467731,"0%",1.16666666666667
"15",0.0986688363880893,"0%",1.25
"16",0.0982604831157855,"0%",1.33333333333333
"17",0.0982490880126692,"0%",1.41666666666667
"18",0.0976972527500723,"0%",1.5
"19",0.0976947015089045,"0%",1.58333333333333
"20",0.0970807931990201,"0%",1.66666666666667
"21",0.0973837225597801,"0%",1.75
"22",0.0971247242882563,"0%",1.83333333333333
"23",0.0965423910713456,"0%",1.91666666666667
"24",0.0971341085153112,"0%",2
"25",0.0972285769869189,"0%",2.08333333333333
"26",0.097776992814394,"0%",2.16666666666667
"27",0.0974462262716151,"0%",2.25
"28",0.0974181330429764,"0%",2.33333333333333
"29",0.0973311095033001,"0%",2.41666666666667
"30",0.0976543360862349,"0%",2.5
"31",0.097232690524701,"0%",2.58333333333333
"32",0.0972699477978394,"0%",2.66666666666667
"33",0.0968723217581261,"0%",2.75
"34",0.0963940045400528,"0%",2.83333333333333
"35",0.0961345533521781,"0%",2.91666666666667
"36",0.0954193990995244,"0%",3
"37",0.0958426223490225,"0%",3.08333333333333
"38",0.0949913155094629,"0%",3.16666666666667
"39",0.0947139164048289,"0%",3.25
"40",0.0938779947464882,"0%",3.33333333333333
"41",0.0939175180608943,"0%",3.41666666666667
"42",0.0934921455541855,"0%",3.5
"43",0.0933967761642554,"0%",3.58333333333333
"44",0.0934700925726446,"0%",3.66666666666667
"45",0.0935391298848945,"0%",3.75
"46",0.0938759053901227,"0%",3.83333333333333
"47",0.093015600522049,"0%",3.91666666666667
"48",0.0932335896767722,"0%",4
"49",0.0929879171563798,"0%",4.08333333333333
"50",0.0932580022977359,"0%",4.16666666666667
"51",0.0938292547173994,"0%",4.25
"52",0.0934371740152183,"0%",4.33333333333333
"53",0.0936388018523945,"0%",4.41666666666667
"54",0.093770955483611,"0%",4.5
"55",0.0941231213701396,"0%",4.58333333333333
"56",0.0942532488267044,"0%",4.66666666666667
"57",0.0946968174687841,"0%",4.75
"58",0.0947262057211175,"0%",4.83333333333333
"59",0.0941705185015572,"0%",4.91666666666667
"60",0.0943600073716495,"0%",5
"61",0.0945054173445474,"0%",5.08333333333333
"62",0.0950468610235246,"0%",5.16666666666667
"63",0.0955529748431589,"0%",5.25
"64",0.0956649661760302,"0%",5.33333333333333
"65",0.0956596196014903,"0%",5.41666666666667
"66",0.0958112377345714,"0%",5.5
"67",0.0961660261321879,"0%",5.58333333333333
"68",0.0964469054034561,"0%",5.66666666666667
"69",0.0968943798106806,"0%",5.75
"70",0.0969188042499338,"0%",5.83333333333333
"71",0.0964544224518463,"0%",5.91666666666667
"72",0.0971745242869185,"0%",6
"73",0.0974273995263913,"0%",6.08333333333333
"74",0.0972759328667359,"0%",6.16666666666667
"75",0.0976959235078935,"0%",6.25
"76",0.0983495007704832,"0%",6.33333333333333
"77",0.0982342707981587,"0%",6.41666666666667
"78",0.0983415298753294,"0%",6.5
"79",0.0990971958664201,"0%",6.58333333333333
"80",0.0987185236598921,"0%",6.66666666666667
"81",0.098668336472199,"0%",6.75
"82",0.0989693721905298,"0%",6.83333333333333
"83",0.0992093762033052,"0%",6.91666666666667
"84",0.0988419300922917,"0%",7
"85",0.0988204690688717,"0%",7.08333333333333
"86",0.0984174843786462,"0%",7.16666666666667
"87",0.0983120838957567,"0%",7.25
"88",0.0985141203269655,"0%",7.33333333333333
"89",0.0979928454707797,"0%",7.41666666666667
"90",0.0980995265647798,"0%",7.5
"91",0.0973239412289398,"0%",7.58333333333333
"92",0.0970275645348384,"0%",7.66666666666667
"93",0.097012012743055,"0%",7.75
"94",0.0976749726711349,"0%",7.83333333333333
"95",0.0978366785514736,"0%",7.91666666666667
"96",0.098010027652176,"0%",8
"97",0.0983718889679112,"0%",8.08333333333333
"98",0.0987760989414377,"0%",8.16666666666667
"99",0.0987901476040363,"0%",8.25
"100",0.0985614111226563,"0%",8.33333333333333
"101",0.0989147741987152,"0%",8.41666666666667
"102",0.0984591736568787,"0%",8.5
"103",0.0981824362631445,"0%",8.58333333333333
"104",0.0975320330820337,"0%",8.66666666666667
"105",0.0979882488057092,"0%",8.75
"106",0.0982259378658098,"0%",8.83333333333333
"107",0.0982270520462529,"0%",8.91666666666667
"108",0.0971436141442618,"0%",9
"109",0.097123724350748,"0%",9.08333333333333
"110",0.0967423611416325,"0%",9.16666666666667
"111",0.0971031096639008,"0%",9.25
"112",0.097136644350057,"0%",9.33333333333333
"113",0.096882496694586,"0%",9.41666666666667
"114",0.0970341054982477,"0%",9.5
"115",0.0974028616904974,"0%",9.58333333333333
"116",0.0974962978146084,"0%",9.66666666666667
"117",0.0980280181450489,"0%",9.75
"118",0.0977602107831709,"0%",9.83333333333333
"119",0.0984330385982553,"0%",9.91666666666667
"120",0.0983927977560647,"0%",10
"121",0.100502216477778,"0%",10.0833333333333
"122",0.103379076850434,"0%",10.1666666666667
"123",0.107308759059006,"0%",10.25
"124",0.110893546812139,"0%",10.3333333333333
