"","hrp2.Deletion.Allele.Frequency","Proportion.of.Monoinfections.Due.to.hrp2.Deleted.Strains","PCR.Prevalence"
"1",0.616005189740595,0.393707402368599,0.151172333333333
"2",0.637853497741405,0.414398209307385,0.148620333333333
"3",0.655774849130561,0.423164923989018,0.164625333333333
"4",0.538232944595468,0.339917368471975,0.161923666666667
"5",0.564478279785843,0.363030158058402,0.181156666666667
"6",0.564981166321673,0.360725326121429,0.191288666666667
"7",0.47306862510504,0.299044335767998,0.194733666666667
"8",0.601119462293784,0.391011519238958,0.216825666666667
"9",0.451475858912035,0.287657044212142,0.225918333333333
"10",0.465811930233841,0.297896890214835,0.232845666666667
"11",0.458417400535307,0.29698633042971,0.25141
"12",0.475342566082941,0.304245887589362,0.257472666666667
"13",0.432445344238665,0.278570008449724,0.268253333333333
"14",0.354336618062657,0.221157628514153,0.282180333333333
"15",0.387486528251919,0.242968990102204,0.305859333333333
"16",0.345816651446161,0.212886687170429,0.321567
"17",0.30108736572385,0.185370331231041,0.326469
"18",0.326036043988354,0.201025750837106,0.351807333333333
"19",0.30560492514265,0.188681860122467,0.365596
"20",0.268196127522118,0.161761401735734,0.381279666666667
"21",0.240489247099414,0.143216449176741,0.399712
"22",0.217132727869656,0.128318997946278,0.409825
"23",0.261529435381472,0.154293800655552,0.432002666666667
"24",0.238563911640672,0.138961668667502,0.456476
"25",0.214377181664659,0.123224985106773,0.465536
"26",0.202671110520001,0.114258552429782,0.492287
"27",0.188391383734546,0.102985086421834,0.506160666666667
"28",0.160025927855764,0.0854074585547216,0.522335333333333
"29",0.173272227271572,0.0925948887680328,0.543039333333333
"30",0.163865425967685,0.0832561373074543,0.559542333333333
"31",0.145706120181169,0.0739649093709003,0.578806
"32",0.147583336624467,0.0725962239137126,0.592377
"33",0.151948883544821,0.0750805003533491,0.606105
"34",0.12873331662205,0.0614804923784823,0.623585333333333
"35",0.139450681557407,0.0643458597120579,0.640036
"36",0.129730906046784,0.0591871015178628,0.656449333333333
"37",0.13508197831702,0.0587927240533295,0.674698
"38",0.111736817105039,0.0487321178710516,0.681569666666667
"39",0.114226177300793,0.0465476789603522,0.701417
"40",0.1203676567395,0.047378820580333,0.712751666666667
"41",0.112711073330658,0.0443620640907175,0.729767666666667
"42",0.106138800616512,0.0404929173705977,0.741273666666667
"43",0.100081435463178,0.036050981078492,0.756123666666667
"44",0.100528245218362,0.0352457586056539,0.769813666666667
"45",0.10464850936232,0.0348398427505707,0.777787666666667
"46",0.100304874314943,0.0308761814661195,0.791354333333333
"47",0.0960640811506959,0.0304533964515932,0.801881
"48",0.0978647632870558,0.0291451990535681,0.807806
"49",0.0944366278541373,0.0269513786036056,0.823272666666667
"50",0.0910954807410634,0.0252091944509939,0.831284
"51",0.0897782665566398,0.0229703334928413,0.843566333333333
"52",0.0924241900445221,0.0228479936033614,0.850446666666667
"53",0.0911449586495001,0.0218913342823744,0.858878666666667
"54",0.0883871404771392,0.0205998474170657,0.868598666666667
"55",0.084385272536087,0.0184712821924955,0.873987333333333
"56",0.624587127231602,0.400853958766246,0.149343666666667
"57",0.582481553720628,0.36937090221726,0.143014333333333
"58",0.638957845890359,0.414194103844607,0.164932333333333
"59",0.660753112187742,0.429804197577113,0.176181
