"","hrp2.Deletion.Allele.Frequency","Comparative Fitness","Years"
"1",0.0802818093757591,"100%",0.0833333333333333
"2",0.0802418482890319,"100%",0.166666666666667
"3",0.079874776931596,"100%",0.25
"4",0.0798761637967659,"100%",0.333333333333333
"5",0.0796813214331765,"100%",0.416666666666667
"6",0.0800888186001662,"100%",0.5
"7",0.0802057424440495,"100%",0.583333333333333
"8",0.0802218328167057,"100%",0.666666666666667
"9",0.0801687863281907,"100%",0.75
"10",0.080209005356502,"100%",0.833333333333333
"11",0.0806891871345165,"100%",0.916666666666667
"12",0.0806022041350106,"100%",1
"13",0.0809428117193236,"100%",1.08333333333333
"14",0.0809649965234574,"100%",1.16666666666667
"15",0.0815317993653955,"100%",1.25
"16",0.0819204209075922,"100%",1.33333333333333
"17",0.0816209366502606,"100%",1.41666666666667
"18",0.081422167670165,"100%",1.5
"19",0.0811646786624714,"100%",1.58333333333333
"20",0.0812034462660451,"100%",1.66666666666667
"21",0.0808364259842728,"100%",1.75
"22",0.0807288758925043,"100%",1.83333333333333
"23",0.0803895142367228,"100%",1.91666666666667
"24",0.080700826352077,"100%",2
"25",0.0806978800869761,"100%",2.08333333333333
"26",0.0811413769574875,"100%",2.16666666666667
"27",0.081037184289904,"100%",2.25
"28",0.0806996576552032,"100%",2.33333333333333
"29",0.0811386201165314,"100%",2.41666666666667
"30",0.0813851468095175,"100%",2.5
"31",0.080982501326498,"100%",2.58333333333333
"32",0.0810967733689558,"100%",2.66666666666667
"33",0.0815707393807648,"100%",2.75
"34",0.0818702513370024,"100%",2.83333333333333
"35",0.082564586520662,"100%",2.91666666666667
"36",0.0824702138895235,"100%",3
"37",0.0818041414522699,"100%",3.08333333333333
"38",0.0809691952414188,"100%",3.16666666666667
"39",0.0807666861027851,"100%",3.25
"40",0.080420297017116,"100%",3.33333333333333
"41",0.0810767570007526,"100%",3.41666666666667
"42",0.0808355753562188,"100%",3.5
"43",0.0810862750995789,"100%",3.58333333333333
"44",0.0810910228233832,"100%",3.66666666666667
"45",0.0808666882239543,"100%",3.75
"46",0.0810314985900671,"100%",3.83333333333333
"47",0.0811936334242947,"100%",3.91666666666667
"48",0.0806627747581326,"100%",4
"49",0.0807412850726735,"100%",4.08333333333333
"50",0.0803644294923575,"100%",4.16666666666667
"51",0.0801220946122748,"100%",4.25
"52",0.0796193173848999,"100%",4.33333333333333
"53",0.0797032977186473,"100%",4.41666666666667
"54",0.079857514739998,"100%",4.5
"55",0.0800868407245334,"100%",4.58333333333333
"56",0.0797123923359861,"100%",4.66666666666667
"57",0.0794719804884547,"100%",4.75
"58",0.0799835022410835,"100%",4.83333333333333
"59",0.0795620688609275,"100%",4.91666666666667
"60",0.0798830027913698,"100%",5
"61",0.0793625471806967,"100%",5.08333333333333
"62",0.0792191108540221,"100%",5.16666666666667
"63",0.0792495318273168,"100%",5.25
"64",0.0789024011320806,"100%",5.33333333333333
"65",0.0790826154404155,"100%",5.41666666666667
"66",0.0794503299248196,"100%",5.5
"67",0.0794894866086211,"100%",5.58333333333333
"68",0.0795250532464151,"100%",5.66666666666667
"69",0.079663156830465,"100%",5.75
"70",0.0795724090079395,"100%",5.83333333333333
"71",0.079262378181971,"100%",5.91666666666667
"72",0.0791569260651599,"100%",6
"73",0.0791143642905263,"100%",6.08333333333333
"74",0.0792079720200183,"100%",6.16666666666667
"75",0.0793843767906549,"100%",6.25
"76",0.0795196971641768,"100%",6.33333333333333
"77",0.0791116986514092,"100%",6.41666666666667
"78",0.0791357739298129,"100%",6.5
"79",0.0798330917863345,"100%",6.58333333333333
"80",0.080241339867862,"100%",6.66666666666667
"81",0.0809044565729353,"100%",6.75
"82",0.0811491550397824,"100%",6.83333333333333
"83",0.0815964974266147,"100%",6.91666666666667
"84",0.0818793972027373,"100%",7
"85",0.0820288027389757,"100%",7.08333333333333
"86",0.082115210501152,"100%",7.16666666666667
"87",0.0822673585302187,"100%",7.25
"88",0.0822203890592659,"100%",7.33333333333333
"89",0.0826510319351607,"100%",7.41666666666667
"90",0.0827427224705448,"100%",7.5
"91",0.0835463921824211,"100%",7.58333333333333
"92",0.0836153426953682,"100%",7.66666666666667
"93",0.0838321021059895,"100%",7.75
"94",0.0840983672900607,"100%",7.83333333333333
"95",0.0841185885901446,"100%",7.91666666666667
"96",0.084018683321802,"100%",8
"97",0.0835254214607071,"100%",8.08333333333333
"98",0.0838425232899191,"100%",8.16666666666667
"99",0.083808121184182,"100%",8.25
"100",0.0834223853662967,"100%",8.33333333333333
"101",0.0830840572680076,"100%",8.41666666666667
"102",0.0833096050157706,"100%",8.5
"103",0.0831676577530182,"100%",8.58333333333333
"104",0.082867576091486,"100%",8.66666666666667
"105",0.0823785657030723,"100%",8.75
"106",0.0823092169941596,"100%",8.83333333333333
"107",0.08234064112186,"100%",8.91666666666667
"108",0.0829702956694274,"100%",9
"109",0.0833168972191922,"100%",9.08333333333333
"110",0.0831490575304813,"100%",9.16666666666667
"111",0.0828557119729704,"100%",9.25
"112",0.0829104596469884,"100%",9.33333333333333
"113",0.0835116714369049,"100%",9.41666666666667
"114",0.0837868937940801,"100%",9.5
"115",0.0838581751861628,"100%",9.58333333333333
"116",0.083364258088187,"100%",9.66666666666667
"117",0.0832380504127139,"100%",9.75
"118",0.0832849832232044,"100%",9.83333333333333
"119",0.0836807953035103,"100%",9.91666666666667
"120",0.0839480266201479,"100%",10
"121",0.0852692544209467,"100%",10.0833333333333
"122",0.087802035984135,"100%",10.1666666666667
"123",0.0905854156907247,"100%",10.25
"124",0.0939265770393578,"100%",10.3333333333333
"125",0.0972580697058439,"100%",10.4166666666667
"126",0.101067542946673,"100%",10.5
"127",0.104238369213591,"100%",10.5833333333333
"128",0.107486229012626,"100%",10.6666666666667
"129",0.110397784908976,"100%",10.75
"130",0.113852378367521,"100%",10.8333333333333
"131",0.117385692965415,"100%",10.9166666666667
"132",0.1207321864247,"100%",11
"133",0.12407583114999,"100%",11.0833333333333
"134",0.127263954751143,"100%",11.1666666666667
"135",0.130459592266703,"100%",11.25
"136",0.13453483983694,"100%",11.3333333333333
"137",0.137956373965188,"100%",11.4166666666667
"138",0.142072785285912,"100%",11.5
"139",0.145749899716185,"100%",11.5833333333333
"140",0.150167063199339,"100%",11.6666666666667
"141",0.15410826607906,"100%",11.75
"142",0.158906284611497,"100%",11.8333333333333
"143",0.16324871417484,"100%",11.9166666666667
"144",0.167312576767799,"100%",12
"145",0.171377962892015,"100%",12.0833333333333
"146",0.175213634867557,"100%",12.1666666666667
"147",0.179497877842429,"100%",12.25
"148",0.184190229306931,"100%",12.3333333333333
"149",0.188761992690896,"100%",12.4166666666667
"150",0.193864814347491,"100%",12.5
"151",0.198012977216997,"100%",12.5833333333333
"152",0.202774115187943,"100%",12.6666666666667
"153",0.206938761277845,"100%",12.75
"154",0.212927547887867,"100%",12.8333333333333
"155",0.218454464812081,"100%",12.9166666666667
"156",0.224530947095719,"100%",13
"157",0.230236839200386,"100%",13.0833333333333
"158",0.23559839660042,"100%",13.1666666666667
"159",0.241000833636003,"100%",13.25
"160",0.248026303547916,"100%",13.3333333333333
"161",0.25427408659186,"100%",13.4166666666667
"162",0.260125264429722,"100%",13.5
"163",0.267061393493646,"100%",13.5833333333333
"164",0.273659810072447,"100%",13.6666666666667
"165",0.280513412330419,"100%",13.75
"166",0.287497941324428,"100%",13.8333333333333
"167",0.293176503413837,"100%",13.9166666666667
"168",0.300015126906494,"100%",14
"169",0.305858671506484,"100%",14.0833333333333
"170",0.313254132486942,"100%",14.1666666666667
"171",0.320262927942878,"100%",14.25
"172",0.327226157105383,"100%",14.3333333333333
"173",0.335376318204625,"100%",14.4166666666667
"174",0.342854864423035,"100%",14.5
"175",0.350195280471086,"100%",14.5833333333333
"176",0.357278930222048,"100%",14.6666666666667
"177",0.364479706490544,"100%",14.75
"178",0.372292496715858,"100%",14.8333333333333
"179",0.379377151493818,"100%",14.9166666666667
"180",0.387136718811693,"100%",15
"181",0.39551560259755,"100%",15.0833333333333
"182",0.403097442291777,"100%",15.1666666666667
"183",0.41107800910494,"100%",15.25
"184",0.420137676009519,"100%",15.3333333333333
"185",0.428953160437152,"100%",15.4166666666667
"186",0.43726554582209,"100%",15.5
"187",0.445844599034916,"100%",15.5833333333333
"188",0.454974784990392,"100%",15.6666666666667
"189",0.464188990415042,"100%",15.75
"190",0.473045313034827,"100%",15.8333333333333
"191",0.482714932699996,"100%",15.9166666666667
"192",0.491612224730871,"100%",16
"193",0.501388882211219,"100%",16.0833333333333
"194",0.509994904633542,"100%",16.1666666666667
"195",0.518274358283783,"100%",16.25
"196",0.52759210599662,"100%",16.3333333333333
"197",0.536434063067223,"100%",16.4166666666667
"198",0.545241430153433,"100%",16.5
"199",0.554191140695315,"100%",16.5833333333333
"200",0.562516743043118,"100%",16.6666666666667
"201",0.571064693809089,"100%",16.75
"202",0.579517493774772,"100%",16.8333333333333
"203",0.58837829986431,"100%",16.9166666666667
"204",0.597292003241619,"100%",17
"205",0.605861484135217,"100%",17.0833333333333
"206",0.614543286293508,"100%",17.1666666666667
"207",0.623316072557182,"100%",17.25
"208",0.63039239834053,"100%",17.3333333333333
"209",0.639276967739848,"100%",17.4166666666667
"210",0.647298241188701,"100%",17.5
"211",0.656617597489715,"100%",17.5833333333333
"212",0.664229484829544,"100%",17.6666666666667
"213",0.673265269035511,"100%",17.75
"214",0.681848115239087,"100%",17.8333333333333
"215",0.691047382872139,"100%",17.9166666666667
"216",0.699362839524975,"100%",18
"217",0.707687507961322,"100%",18.0833333333333
"218",0.714613965031712,"100%",18.1666666666667
"219",0.722219017841254,"100%",18.25
"220",0.729559112102374,"100%",18.3333333333333
"221",0.736913791648126,"100%",18.4166666666667
"222",0.744265222597478,"100%",18.5
"223",0.751412299120092,"100%",18.5833333333333
"224",0.758461745915347,"100%",18.6666666666667
"225",0.765833852562036,"100%",18.75
"226",0.773358182031491,"100%",18.8333333333333
"227",0.780033741625971,"100%",18.9166666666667
"228",0.786858023639685,"100%",19
"229",0.793531346580497,"100%",19.0833333333333
"230",0.800016681218312,"100%",19.1666666666667
"231",0.806446867451072,"100%",19.25
"232",0.811887630389256,"100%",19.3333333333333
"233",0.817657050077542,"100%",19.4166666666667
"234",0.823470042909126,"100%",19.5
"235",0.829715750081013,"100%",19.5833333333333
"236",0.835449988893862,"100%",19.6666666666667
"237",0.840890200870802,"100%",19.75
"238",0.84698685205289,"100%",19.8333333333333
"239",0.852796426725771,"100%",19.9166666666667
"240",0.85764668250189,"100%",20
"241",0.0802818093757591,"97.5%",0.0833333333333333
"242",0.0802418482890319,"97.5%",0.166666666666667
"243",0.079874776931596,"97.5%",0.25
"244",0.0798761637967659,"97.5%",0.333333333333333
"245",0.0796813214331765,"97.5%",0.416666666666667
"246",0.0800888186001662,"97.5%",0.5
"247",0.0802057424440495,"97.5%",0.583333333333333
"248",0.0802218328167057,"97.5%",0.666666666666667
"249",0.0801687863281907,"97.5%",0.75
"250",0.080209005356502,"97.5%",0.833333333333333
"251",0.0806891871345165,"97.5%",0.916666666666667
"252",0.0806022041350106,"97.5%",1
"253",0.0809428117193236,"97.5%",1.08333333333333
"254",0.0809649965234574,"97.5%",1.16666666666667
"255",0.0815317993653955,"97.5%",1.25
"256",0.0819204209075922,"97.5%",1.33333333333333
"257",0.0816209366502606,"97.5%",1.41666666666667
"258",0.081422167670165,"97.5%",1.5
"259",0.0811646786624714,"97.5%",1.58333333333333
"260",0.0812034462660451,"97.5%",1.66666666666667
"261",0.0808364259842728,"97.5%",1.75
"262",0.0807288758925043,"97.5%",1.83333333333333
"263",0.0803895142367228,"97.5%",1.91666666666667
"264",0.080700826352077,"97.5%",2
"265",0.0806978800869761,"97.5%",2.08333333333333
"266",0.0811413769574875,"97.5%",2.16666666666667
"267",0.081037184289904,"97.5%",2.25
"268",0.0806996576552032,"97.5%",2.33333333333333
"269",0.0811386201165314,"97.5%",2.41666666666667
"270",0.0813851468095175,"97.5%",2.5
"271",0.080982501326498,"97.5%",2.58333333333333
"272",0.0810967733689558,"97.5%",2.66666666666667
"273",0.0815707393807648,"97.5%",2.75
"274",0.0818702513370024,"97.5%",2.83333333333333
"275",0.082564586520662,"97.5%",2.91666666666667
"276",0.0824702138895235,"97.5%",3
"277",0.0818041414522699,"97.5%",3.08333333333333
"278",0.0809691952414188,"97.5%",3.16666666666667
"279",0.0807666861027851,"97.5%",3.25
"280",0.080420297017116,"97.5%",3.33333333333333
"281",0.0810767570007526,"97.5%",3.41666666666667
"282",0.0808355753562188,"97.5%",3.5
"283",0.0810862750995789,"97.5%",3.58333333333333
"284",0.0810910228233832,"97.5%",3.66666666666667
"285",0.0808666882239543,"97.5%",3.75
"286",0.0810314985900671,"97.5%",3.83333333333333
"287",0.0811936334242947,"97.5%",3.91666666666667
"288",0.0806627747581326,"97.5%",4
"289",0.0807412850726735,"97.5%",4.08333333333333
"290",0.0803644294923575,"97.5%",4.16666666666667
"291",0.0801220946122748,"97.5%",4.25
"292",0.0796193173848999,"97.5%",4.33333333333333
"293",0.0797032977186473,"97.5%",4.41666666666667
"294",0.079857514739998,"97.5%",4.5
"295",0.0800868407245334,"97.5%",4.58333333333333
"296",0.0797123923359861,"97.5%",4.66666666666667
"297",0.0794719804884547,"97.5%",4.75
"298",0.0799835022410835,"97.5%",4.83333333333333
"299",0.0795620688609275,"97.5%",4.91666666666667
"300",0.0798830027913698,"97.5%",5
"301",0.0793625471806967,"97.5%",5.08333333333333
"302",0.0792191108540221,"97.5%",5.16666666666667
"303",0.0792495318273168,"97.5%",5.25
"304",0.0789024011320806,"97.5%",5.33333333333333
"305",0.0790826154404155,"97.5%",5.41666666666667
"306",0.0794503299248196,"97.5%",5.5
"307",0.0794894866086211,"97.5%",5.58333333333333
"308",0.0795250532464151,"97.5%",5.66666666666667
"309",0.079663156830465,"97.5%",5.75
"310",0.0795724090079395,"97.5%",5.83333333333333
"311",0.079262378181971,"97.5%",5.91666666666667
"312",0.0791569260651599,"97.5%",6
"313",0.0791143642905263,"97.5%",6.08333333333333
"314",0.0792079720200183,"97.5%",6.16666666666667
"315",0.0793843767906549,"97.5%",6.25
"316",0.0795196971641768,"97.5%",6.33333333333333
"317",0.0791116986514092,"97.5%",6.41666666666667
"318",0.0791357739298129,"97.5%",6.5
"319",0.0798330917863345,"97.5%",6.58333333333333
"320",0.080241339867862,"97.5%",6.66666666666667
"321",0.0809044565729353,"97.5%",6.75
"322",0.0811491550397824,"97.5%",6.83333333333333
"323",0.0815964974266147,"97.5%",6.91666666666667
"324",0.0818793972027373,"97.5%",7
"325",0.0820288027389757,"97.5%",7.08333333333333
"326",0.082115210501152,"97.5%",7.16666666666667
"327",0.0822673585302187,"97.5%",7.25
"328",0.0822203890592659,"97.5%",7.33333333333333
"329",0.0826510319351607,"97.5%",7.41666666666667
"330",0.0827427224705448,"97.5%",7.5
"331",0.0835463921824211,"97.5%",7.58333333333333
"332",0.0836153426953682,"97.5%",7.66666666666667
"333",0.0838321021059895,"97.5%",7.75
"334",0.0840983672900607,"97.5%",7.83333333333333
"335",0.0841185885901446,"97.5%",7.91666666666667
"336",0.084018683321802,"97.5%",8
"337",0.0835254214607071,"97.5%",8.08333333333333
"338",0.0838425232899191,"97.5%",8.16666666666667
"339",0.083808121184182,"97.5%",8.25
"340",0.0834223853662967,"97.5%",8.33333333333333
"341",0.0830840572680076,"97.5%",8.41666666666667
"342",0.0833096050157706,"97.5%",8.5
"343",0.0831676577530182,"97.5%",8.58333333333333
"344",0.082867576091486,"97.5%",8.66666666666667
"345",0.0823785657030723,"97.5%",8.75
"346",0.0823092169941596,"97.5%",8.83333333333333
"347",0.08234064112186,"97.5%",8.91666666666667
"348",0.0829702956694274,"97.5%",9
"349",0.0833168972191922,"97.5%",9.08333333333333
"350",0.0831490575304813,"97.5%",9.16666666666667
"351",0.0828557119729704,"97.5%",9.25
"352",0.0829104596469884,"97.5%",9.33333333333333
"353",0.0835116714369049,"97.5%",9.41666666666667
"354",0.0837868937940801,"97.5%",9.5
"355",0.0838581751861628,"97.5%",9.58333333333333
"356",0.083364258088187,"97.5%",9.66666666666667
"357",0.0832380504127139,"97.5%",9.75
"358",0.0832849832232044,"97.5%",9.83333333333333
"359",0.0836807953035103,"97.5%",9.91666666666667
"360",0.0839480266201479,"97.5%",10
"361",0.0851319118470065,"97.5%",10.0833333333333
"362",0.0874919994835953,"97.5%",10.1666666666667
"363",0.0894974484613949,"97.5%",10.25
"364",0.091704122839042,"97.5%",10.3333333333333
"365",0.0941898066441689,"97.5%",10.4166666666667
"366",0.096760657999118,"97.5%",10.5
"367",0.0993908340164562,"97.5%",10.5833333333333
"368",0.102062838991288,"97.5%",10.6666666666667
"369",0.105114545553355,"97.5%",10.75
"370",0.107442106229141,"97.5%",10.8333333333333
"371",0.1102323710042,"97.5%",10.9166666666667
"372",0.112699047468906,"97.5%",11
"373",0.115213740778483,"97.5%",11.0833333333333
"374",0.118616161239636,"97.5%",11.1666666666667
"375",0.121064130278431,"97.5%",11.25
"376",0.123470423924728,"97.5%",11.3333333333333
"377",0.125467248462542,"97.5%",11.4166666666667
"378",0.127714474671731,"97.5%",11.5
"379",0.130134395491474,"97.5%",11.5833333333333
"380",0.133297944142804,"97.5%",11.6666666666667
"381",0.136375200948228,"97.5%",11.75
"382",0.139487217357995,"97.5%",11.8333333333333
"383",0.142224790425408,"97.5%",11.9166666666667
"384",0.145546797387131,"97.5%",12
"385",0.148399207869436,"97.5%",12.0833333333333
"386",0.15149790061927,"97.5%",12.1666666666667
"387",0.155010175275748,"97.5%",12.25
"388",0.159128787407959,"97.5%",12.3333333333333
"389",0.163154445886121,"97.5%",12.4166666666667
"390",0.167441277336194,"97.5%",12.5
"391",0.171459750245839,"97.5%",12.5833333333333
"392",0.175174969100657,"97.5%",12.6666666666667
"393",0.178271080029219,"97.5%",12.75
"394",0.182021401058078,"97.5%",12.8333333333333
"395",0.18556636784026,"97.5%",12.9166666666667
"396",0.190098788739415,"97.5%",13
"397",0.194732859637138,"97.5%",13.0833333333333
"398",0.198776270504417,"97.5%",13.1666666666667
"399",0.203373541526731,"97.5%",13.25
"400",0.208693071926951,"97.5%",13.3333333333333
"401",0.212532962468647,"97.5%",13.4166666666667
"402",0.217365069336784,"97.5%",13.5
"403",0.222152194373098,"97.5%",13.5833333333333
"404",0.226354628103528,"97.5%",13.6666666666667
"405",0.230917354562551,"97.5%",13.75
"406",0.235248274185006,"97.5%",13.8333333333333
"407",0.241255219732784,"97.5%",13.9166666666667
"408",0.246096701392344,"97.5%",14
"409",0.25069399109126,"97.5%",14.0833333333333
"410",0.25548359793026,"97.5%",14.1666666666667
"411",0.259573859964889,"97.5%",14.25
"412",0.264601784904082,"97.5%",14.3333333333333
"413",0.269711419380106,"97.5%",14.4166666666667
"414",0.274621507940711,"97.5%",14.5
"415",0.279191454067404,"97.5%",14.5833333333333
"416",0.283716067631127,"97.5%",14.6666666666667
"417",0.289035787218788,"97.5%",14.75
"418",0.294957241986515,"97.5%",14.8333333333333
"419",0.300417013627596,"97.5%",14.9166666666667
"420",0.305768154132761,"97.5%",15
"421",0.310888967430512,"97.5%",15.0833333333333
"422",0.31525209168802,"97.5%",15.1666666666667
"423",0.319422574170008,"97.5%",15.25
"424",0.325540945434603,"97.5%",15.3333333333333
"425",0.332051503663457,"97.5%",15.4166666666667
"426",0.338072897035721,"97.5%",15.5
"427",0.34376472468264,"97.5%",15.5833333333333
"428",0.348975906102448,"97.5%",15.6666666666667
"429",0.355504402010498,"97.5%",15.75
"430",0.361890776513508,"97.5%",15.8333333333333
"431",0.369433319464272,"97.5%",15.9166666666667
"432",0.376995375878271,"97.5%",16
"433",0.383873187068066,"97.5%",16.0833333333333
"434",0.389550192418558,"97.5%",16.1666666666667
"435",0.394926123886899,"97.5%",16.25
"436",0.400525033674915,"97.5%",16.3333333333333
"437",0.406384584088906,"97.5%",16.4166666666667
"438",0.412540695260025,"97.5%",16.5
"439",0.419134754216002,"97.5%",16.5833333333333
"440",0.425906986031656,"97.5%",16.6666666666667
"441",0.433431736427912,"97.5%",16.75
"442",0.44062484943854,"97.5%",16.8333333333333
"443",0.448624734224643,"97.5%",16.9166666666667
"444",0.455593813721688,"97.5%",17
"445",0.462036617505429,"97.5%",17.0833333333333
"446",0.468759331712619,"97.5%",17.1666666666667
"447",0.476007068726034,"97.5%",17.25
"448",0.483472803542949,"97.5%",17.3333333333333
"449",0.490689334962287,"97.5%",17.4166666666667
"450",0.497926072505391,"97.5%",17.5
"451",0.504632942821986,"97.5%",17.5833333333333
"452",0.512350989481788,"97.5%",17.6666666666667
"453",0.520523200587429,"97.5%",17.75
"454",0.527698470959211,"97.5%",17.8333333333333
"455",0.534791309577318,"97.5%",17.9166666666667
"456",0.541526054658489,"97.5%",18
"457",0.548967553455576,"97.5%",18.0833333333333
"458",0.556710507284114,"97.5%",18.1666666666667
"459",0.563786183865027,"97.5%",18.25
"460",0.571386533816349,"97.5%",18.3333333333333
"461",0.578635670823214,"97.5%",18.4166666666667
"462",0.585593528160147,"97.5%",18.5
"463",0.59347146107617,"97.5%",18.5833333333333
"464",0.60051175214066,"97.5%",18.6666666666667
"465",0.607867899604883,"97.5%",18.75
"466",0.615242734839497,"97.5%",18.8333333333333
"467",0.62279994299482,"97.5%",18.9166666666667
"468",0.629728993377937,"97.5%",19
"469",0.636464158428049,"97.5%",19.0833333333333
"470",0.643271288629393,"97.5%",19.1666666666667
"471",0.651079090895419,"97.5%",19.25
"472",0.657551476334312,"97.5%",19.3333333333333
"473",0.665096949648956,"97.5%",19.4166666666667
"474",0.670930105105888,"97.5%",19.5
"475",0.678593451740131,"97.5%",19.5833333333333
"476",0.685359376256045,"97.5%",19.6666666666667
"477",0.69299823565842,"97.5%",19.75
"478",0.700057450020776,"97.5%",19.8333333333333
"479",0.707114057298361,"97.5%",19.9166666666667
"480",0.713239823376575,"97.5%",20
"481",0.0802818093757591,"95%",0.0833333333333333
"482",0.0802418482890319,"95%",0.166666666666667
"483",0.079874776931596,"95%",0.25
"484",0.0798761637967659,"95%",0.333333333333333
"485",0.0796813214331765,"95%",0.416666666666667
"486",0.0800888186001662,"95%",0.5
"487",0.0802057424440495,"95%",0.583333333333333
"488",0.0802218328167057,"95%",0.666666666666667
"489",0.0801687863281907,"95%",0.75
"490",0.080209005356502,"95%",0.833333333333333
"491",0.0806891871345165,"95%",0.916666666666667
"492",0.0806022041350106,"95%",1
"493",0.0809428117193236,"95%",1.08333333333333
"494",0.0809649965234574,"95%",1.16666666666667
"495",0.0815317993653955,"95%",1.25
"496",0.0819204209075922,"95%",1.33333333333333
"497",0.0816209366502606,"95%",1.41666666666667
"498",0.081422167670165,"95%",1.5
"499",0.0811646786624714,"95%",1.58333333333333
