FigA,hrp2 deletion frequency after 20 years,PfPR,ft,PfPR_grouped,FigB,hrp2 deletion frequency after 20 years,PfPR,ft,PfPR_grouped
,99.72019441,0.490171565,0.6,0.45 - 0.5,,96.07802455,0.490171565,0.6,0.45 - 0.5
,99.43641454,0.512596803,0.6,0.5 - 0.55,,93.0495872,0.512596803,0.6,0.5 - 0.55
,99.22804867,0.529588776,0.6,0.5 - 0.55,,91.23077601,0.529588776,0.6,0.5 - 0.55
,98.60889468,0.545654558,0.6,0.5 - 0.55,,87.88545579,0.545654558,0.6,0.5 - 0.55
,97.37543773,0.568795646,0.6,0.55 - 0.6,,80.60835217,0.568795646,0.6,0.55 - 0.6
,97.05848322,0.577040816,0.6,0.55 - 0.6,,79.59807342,0.577040816,0.6,0.55 - 0.6
,93.81493188,0.60015932,0.6,0.6 - 0.65,,72.31197608,0.60015932,0.6,0.6 - 0.65
,88.92271442,0.616764694,0.6,0.6 - 0.65,,65.42692129,0.616764694,0.6,0.6 - 0.65
,84.76637918,0.632707619,0.6,0.6 - 0.65,,57.87292845,0.632707619,0.6,0.6 - 0.65
,70.40033173,0.67315649,0.6,0.65 - 0.7,,52.22061147,0.653980884,0.6,0.65 - 0.7
,73.18529138,0.662456122,0.6,0.65 - 0.7,,48.36932892,0.662456122,0.6,0.65 - 0.7
,63.30782204,0.682811497,0.6,0.65 - 0.7,,40.61379873,0.682811497,0.6,0.65 - 0.7
,58.98507451,0.692902177,0.6,0.65 - 0.7,,38.84405006,0.692902177,0.6,0.65 - 0.7
,52.78969196,0.706982653,0.6,0.7 - 0.75,,32.5523476,0.706982653,0.6,0.7 - 0.75
,45.82453903,0.723975986,0.6,0.7 - 0.75,,30.19068733,0.723975986,0.6,0.7 - 0.75
,40.07541372,0.734257551,0.6,0.7 - 0.75,,27.2803586,0.734257551,0.6,0.7 - 0.75
,36.44211784,0.747147551,0.6,0.7 - 0.75,,25.72037459,0.747147551,0.6,0.7 - 0.75
,32.88968298,0.761051361,0.6,0.75 - 0.8,,24.52956509,0.761051361,0.6,0.75 - 0.8
,28.97079479,0.768987415,0.6,0.75 - 0.8,,20.95932324,0.768987415,0.6,0.75 - 0.8
,33.98310762,0.718071782,0.6,0.7 - 0.75,,19.96125699,0.78267585,0.6,0.75 - 0.8
,30.63659977,0.727805177,0.6,0.7 - 0.75,,17.73219409,0.792872041,0.6,0.75 - 0.8
,20.34637065,0.806726871,0.6,0.8 - 1.0,,15.98928382,0.806726871,0.6,0.8 - 1.0
,19.2090605,0.814804694,0.6,0.8 - 1.0,,15.34873749,0.814804694,0.6,0.8 - 1.0
,17.92548702,0.823398571,0.6,0.8 - 1.0,,15.14618851,0.823398571,0.6,0.8 - 1.0
,16.183833,0.834522109,0.6,0.8 - 1.0,,13.35600957,0.834522109,0.6,0.8 - 1.0
,15.58336326,0.840957619,0.6,0.8 - 1.0,,13.29245617,0.840957619,0.6,0.8 - 1.0
