"","hrp2.Deletion.Allele.Frequency","Prevalence","years"
"1",0.0997880732083114,"10%",0.0833333333333333
"2",0.0997004605501423,"10%",0.166666666666667
"3",0.0998259410269733,"10%",0.25
"4",0.100325245671684,"10%",0.333333333333333
"5",0.100158568876823,"10%",0.416666666666667
"6",0.0997351743656532,"10%",0.5
"7",0.100344226045282,"10%",0.583333333333333
"8",0.0994666626994977,"10%",0.666666666666667
"9",0.0999664861362938,"10%",0.75
"10",0.0998436672697823,"10%",0.833333333333333
"11",0.099412957825935,"10%",0.916666666666667
"12",0.0991801274708908,"10%",1
"13",0.0999384517416065,"10%",1.08333333333333
"14",0.0996235785376662,"10%",1.16666666666667
"15",0.100066336016212,"10%",1.25
"16",0.0997387675873389,"10%",1.33333333333333
"17",0.099643679545976,"10%",1.41666666666667
"18",0.0999093004273259,"10%",1.5
"19",0.100416893798316,"10%",1.58333333333333
"20",0.0992533810236634,"10%",1.66666666666667
"21",0.0992944690124356,"10%",1.75
"22",0.0999272363306443,"10%",1.83333333333333
"23",0.100005723857382,"10%",1.91666666666667
"24",0.100059982711067,"10%",2
"25",0.100054045008457,"10%",2.08333333333333
"26",0.100027221057072,"10%",2.16666666666667
"27",0.0997986028744719,"10%",2.25
"28",0.0998595752198347,"10%",2.33333333333333
"29",0.0994141560815539,"10%",2.41666666666667
"30",0.0998174961403808,"10%",2.5
"31",0.0999800297169875,"10%",2.58333333333333
"32",0.0997561604860412,"10%",2.66666666666667
"33",0.0999579851682507,"10%",2.75
"34",0.0992991972292873,"10%",2.83333333333333
"35",0.0994420687451355,"10%",2.91666666666667
"36",0.0992261747832422,"10%",3
"37",0.0993005988915842,"10%",3.08333333333333
"38",0.100011766395066,"10%",3.16666666666667
"39",0.0999519042934617,"10%",3.25
"40",0.0997349412663842,"10%",3.33333333333333
"41",0.0998163448113881,"10%",3.41666666666667
"42",0.0997683272434752,"10%",3.5
"43",0.100013407427142,"10%",3.58333333333333
"44",0.099492443772816,"10%",3.66666666666667
"45",0.0997119239165832,"10%",3.75
"46",0.100091603283856,"10%",3.83333333333333
"47",0.099911338977354,"10%",3.91666666666667
"48",0.100671830306652,"10%",4
"49",0.100136845433981,"10%",4.08333333333333
"50",0.100056492358753,"10%",4.16666666666667
"51",0.100132722154719,"10%",4.25
"52",0.0996336406502483,"10%",4.33333333333333
"53",0.0998441213644857,"10%",4.41666666666667
"54",0.0994201795917891,"10%",4.5
"55",0.0997064594961992,"10%",4.58333333333333
"56",0.099819737713018,"10%",4.66666666666667
"57",0.100329395219454,"10%",4.75
"58",0.0997098307419533,"10%",4.83333333333333
