,hrp2 deletion frequency after 20 years,PfPR,ft,PfPR_grouped
115,99.90651054,0.138823605,0.4,0.0 - 0.15
116,99.83906797,0.15312034,0.4,0.15 - 0.2
117,99.88437148,0.161006531,0.4,0.15 - 0.2
118,99.82945248,0.173282245,0.4,0.15 - 0.2
119,99.78524518,0.192176531,0.4,0.15 - 0.2
120,99.59915878,0.197445238,0.4,0.15 - 0.2
121,99.61901154,0.207332245,0.4,0.2 - 0.25
122,99.62491839,0.232042109,0.4,0.2 - 0.25
123,99.09924206,0.240703401,0.4,0.2 - 0.25
124,98.71025592,0.265057347,0.4,0.25 - 0.3
125,99.05815489,0.269531224,0.4,0.25 - 0.3
126,98.2144627,0.288972517,0.4,0.25 - 0.3
127,98.02639987,0.309722313,0.4,0.3 - 0.35
128,97.20748044,0.324299864,0.4,0.3 - 0.35
129,95.37348985,0.345743265,0.4,0.3 - 0.35
130,94.57577349,0.359151973,0.4,0.35 - 0.4
131,92.20850765,0.383774694,0.4,0.35 - 0.4
132,91.27757798,0.396121088,0.4,0.35 - 0.4
133,87.89221578,0.414291429,0.4,0.4 - 0.45
134,84.57930406,0.433492721,0.4,0.4 - 0.45
135,78.69776609,0.453477415,0.4,0.45 - 0.5
136,76.20678842,0.471538435,0.4,0.45 - 0.5
137,68.53980098,0.493678435,0.4,0.45 - 0.5
138,67.92700328,0.506555646,0.4,0.5 - 0.55
139,61.12326628,0.526505238,0.4,0.5 - 0.55
140,55.71000674,0.54888585,0.4,0.5 - 0.55
141,51.1024164,0.565700884,0.4,0.55 - 0.6
142,49.10159211,0.579185646,0.4,0.55 - 0.6
143,44.96164952,0.594416531,0.4,0.55 - 0.6
144,38.27409781,0.61571585,0.4,0.6 - 0.65
145,36.74874107,0.633161224,0.4,0.6 - 0.65
146,33.70679683,0.649836259,0.4,0.6 - 0.65
147,28.85310274,0.666191905,0.4,0.65 - 0.7
148,28.44651398,0.678238231,0.4,0.65 - 0.7
149,26.07721664,0.695221633,0.4,0.65 - 0.7
150,24.0012463,0.708864354,0.4,0.7 - 0.75
151,21.82423259,0.724037483,0.4,0.7 - 0.75
152,21.79628894,0.734787687,0.4,0.7 - 0.75
153,17.91177413,0.746673401,0.4,0.7 - 0.75
154,17.82603833,0.762752789,0.4,0.75 - 0.8
155,16.38853309,0.77421619,0.4,0.75 - 0.8
156,15.45963461,0.790143605,0.4,0.75 - 0.8
157,13.92343751,0.797535238,0.4,0.75 - 0.8
158,13.89744991,0.807869116,0.4,0.8 - 1.0
159,12.58162462,0.819423401,0.4,0.8 - 1.0
160,12.79984573,0.82828966,0.4,0.8 - 1.0
161,12.21092188,0.839663946,0.4,0.8 - 1.0
162,11.57520008,0.845736939,0.4,0.8 - 1.0
163,11.76006759,0.853865714,0.4,0.8 - 1.0
164,11.04347633,0.86327517,0.4,0.8 - 1.0
165,10.46771314,0.870447143,0.4,0.8 - 1.0
167,99.97895498,0.086347891,0.5,0.0 - 0.15
168,99.99875899,0.096728367,0.5,0.0 - 0.15
169,100,0.109269048,0.5,0.0 - 0.15
170,100,0.117255374,0.5,0.0 - 0.15
171,99.98809882,0.135313401,0.5,0.0 - 0.15
172,99.99908345,0.13663517,0.5,0.0 - 0.15
173,99.99235578,0.142203401,0.5,0.0 - 0.15
174,99.99774832,0.167571361,0.5,0.15 - 0.2
175,99.9877191,0.173885102,0.5,0.15 - 0.2
176,99.97931476,0.186988776,0.5,0.15 - 0.2
177,99.9768436,0.195863741,0.5,0.15 - 0.2
178,99.9478833,0.210501837,0.5,0.2 - 0.25
179,99.91683272,0.227914286,0.5,0.2 - 0.25
180,99.87521861,0.237929728,0.5,0.2 - 0.25
181,99.79746531,0.260912041,0.5,0.25 - 0.3
182,99.77822437,0.275470068,0.5,0.25 - 0.3
183,99.71469299,0.297782993,0.5,0.25 - 0.3
184,99.54308419,0.316153129,0.5,0.3 - 0.35
185,99.45017949,0.331236463,0.5,0.3 - 0.35
186,99.11762537,0.35073619,0.5,0.35 - 0.4
187,98.74808258,0.363798095,0.5,0.35 - 0.4
188,98.57625941,0.381900612,0.5,0.35 - 0.4
189,97.60717158,0.405341633,0.5,0.4 - 0.45
190,96.83563792,0.421591769,0.5,0.4 - 0.45
191,94.50305454,0.447000816,0.5,0.4 - 0.45
192,92.51568999,0.463375782,0.5,0.45 - 0.5
193,91.22764038,0.47405483,0.5,0.45 - 0.5
194,86.90065129,0.498430544,0.5,0.45 - 0.5
195,81.01350714,0.519526599,0.5,0.5 - 0.55
196,75.55253333,0.543234694,0.5,0.5 - 0.55
197,74.07551952,0.54998,0.5,0.5 - 0.55
198,69.07774351,0.569007211,0.5,0.55 - 0.6
199,58.01385031,0.594035782,0.5,0.55 - 0.6
200,55.83652297,0.606362789,0.5,0.6 - 0.65
201,50.9148789,0.622746531,0.5,0.6 - 0.65
202,44.06284727,0.644447891,0.5,0.6 - 0.65
203,43.62027085,0.651270408,0.5,0.65 - 0.7
204,36.94111776,0.672014354,0.5,0.65 - 0.7
205,33.25920089,0.686563333,0.5,0.65 - 0.7
206,30.46726908,0.702761973,0.5,0.7 - 0.75
207,26.06743305,0.717467347,0.5,0.7 - 0.75
208,23.87781258,0.730303946,0.5,0.7 - 0.75
209,21.57262131,0.74660619,0.5,0.7 - 0.75
210,21.36991391,0.754407687,0.5,0.75 - 0.8
211,19.18724395,0.768558503,0.5,0.75 - 0.8
212,17.64211983,0.779523469,0.5,0.75 - 0.8
213,17.09288528,0.787462585,0.5,0.75 - 0.8
214,15.78589223,0.802596531,0.5,0.8 - 1.0
215,14.76640674,0.812511361,0.5,0.8 - 1.0
216,14.05869795,0.822239456,0.5,0.8 - 1.0
217,12.97204107,0.832708367,0.5,0.8 - 1.0
218,13.15520458,0.838830952,0.5,0.8 - 1.0
219,11.89042964,0.848878639,0.5,0.8 - 1.0
220,11.67915129,0.85509483,0.5,0.8 - 1.0
221,100,0.061053197,0.6,0.0 - 0.15
222,100,0.062460136,0.6,0.0 - 0.15
223,100,0.07270415,0.6,0.0 - 0.15
224,100,0.085857347,0.6,0.0 - 0.15
225,100,0.087362925,0.6,0.0 - 0.15
226,99.99899613,0.105988095,0.6,0.0 - 0.15
228,100,0.12458415,0.6,0.0 - 0.15
229,100,0.129839116,0.6,0.0 - 0.15
230,100,0.151090204,0.6,0.15 - 0.2
231,99.99320793,0.164604966,0.6,0.15 - 0.2
232,100,0.180057347,0.6,0.15 - 0.2
233,99.99929914,0.181858231,0.6,0.15 - 0.2
234,99.99739356,0.199736939,0.6,0.15 - 0.2
235,99.99846681,0.211469728,0.6,0.2 - 0.25
236,99.98576648,0.237264014,0.6,0.2 - 0.25
237,99.99955961,0.253668299,0.6,0.25 - 0.3
238,99.97750419,0.268616327,0.6,0.25 - 0.3
239,99.97321082,0.285717959,0.6,0.25 - 0.3
240,99.95232798,0.298393129,0.6,0.25 - 0.3
241,99.90598966,0.326683129,0.6,0.3 - 0.35
242,99.89193026,0.339842993,0.6,0.3 - 0.35
243,99.8121731,0.354698503,0.6,0.35 - 0.4
244,99.69993537,0.374051156,0.6,0.35 - 0.4
245,99.51604938,0.396515442,0.6,0.35 - 0.4
246,99.13029486,0.418957007,0.6,0.4 - 0.45
247,98.75542203,0.43311932,0.6,0.4 - 0.45
248,98.27324624,0.451480952,0.6,0.45 - 0.5
249,96.49453118,0.476840068,0.6,0.45 - 0.5
